-ར  འགྱུར ་བ་ལྟར 	ལྔ་ལ 	།_། 	ཟླ་བ 	རྫོགས་པ 	-ར 	འགྱུར	་བ་ལྟར 	།_། 	དེ 	བཞིན 	ས་ཡི 	bstod tshogs ka_.txt	ལྔ་ལ  །_།  ཟླ་བ  རྫོགས་པ  -ར  འགྱུར ་བ་ལྟར  །_།  དེ  བཞིན  ས་ཡི 
མངོན་དུ  འགྱུར ་བ 	འཇིག་པ 	ཟད་པ་ལ 	།_། 	ས་དེ 	མངོན་དུ 	འགྱུར	་བ 	-ར་འདོད 	།_། 	འཁོར 	ལོ 	bstod tshogs ka_.txt	འཇིག་པ  ཟད་པ་ལ  །_།  ས་དེ  མངོན་དུ  འགྱུར ་བ  -ར་འདོད  །_།  འཁོར  ལོ 
 འགྱུར  །_། 						འགྱུར 	།_། 	འདབ 	མ 	རིན་ཆེན 	དུ་མ 	bstod tshogs ka_.txt	     འགྱུར  །_།  འདབ  མ  རིན་ཆེན  དུ་མ 
 འགྱུར ་ཏེ 						འགྱུར	་ཏེ 	།_། 	རྨོངས་པ 	-འི 	མུན་པ 	bstod tshogs ka_.txt	     འགྱུར ་ཏེ  །_།  རྨོངས་པ  -འི  མུན་པ 
 འགྱུར  །_། 						འགྱུར 	།_། 	དེ 	ལྟར 	བདེ་གཤེགས 	ཡོན་ཏན 	bstod tshogs ka_.txt	     འགྱུར  །_།  དེ  ལྟར  བདེ་གཤེགས  ཡོན་ཏན 
 འགྱུར  །_། 						འགྱུར 	།_། 	གཞན 	ན 	-འང 	རྟོག་པ 	bstod tshogs ka_.txt	     འགྱུར  །_།  གཞན  ན  -འང  རྟོག་པ 
མེད  འགྱུར ་ཞེས 					མེད 	འགྱུར	་ཞེས 	།_། 	བདེན་པ 	གསུང་བ 	ཁྱོད་ཀྱིས་བསྟན 	bstod tshogs ka_.txt	    མེད  འགྱུར ་ཞེས  །_།  བདེན་པ  གསུང་བ  ཁྱོད་ཀྱིས་བསྟན 
 འགྱུར  །_། 						འགྱུར 	།_། 	ཐ 	དད 	མིན 	ན 	bstod tshogs ka_.txt	     འགྱུར  །_།  ཐ  དད  མིན  ན 
རིགས  འགྱུར ་གྱི 	།_། 	ཡོད་པ 	གནས་པ 	-ར 	རིགས 	འགྱུར	་གྱི 	།_། 	འཇིག 	པར 	འགྱུར་བ 	bstod tshogs ka_.txt	།_།  ཡོད་པ  གནས་པ  -ར  རིགས  འགྱུར ་གྱི  །_།  འཇིག  པར  འགྱུར་བ 
པར  འགྱུར ་བ 	-ར 	རིགས་པས 	།_། 	འཇིག 	པར 	འགྱུར	་བ 	མ་ཡིན་ནོ 	།_། 	རེ་ཞིག 	ཞིག་པ 	bstod tshogs ka_.txt	-ར  རིགས་པས  །_།  འཇིག  པར  འགྱུར ་བ  མ་ཡིན་ནོ  །_།  རེ་ཞིག  ཞིག་པ 
-ར  འགྱུར ་རམ 	པར 	ཤེས་པ 	-ར 	འགའ 	-ར 	འགྱུར	་རམ 	།_། 	མཚན 	མ 	མེད 	bstod tshogs ka_.txt	པར  ཤེས་པ  -ར  འགའ  -ར  འགྱུར ་རམ  །_།  མཚན  མ  མེད 
མི  འགྱུར  ཞི་ལ 	རང་བཞིན་ཅན 	།_། 	གོས་པ 	མེད་ཅིང 	མི 	འགྱུར 	ཞི་ལ 	མི 	མཉམ 	མཉམ་པ 	ཁྱབ་པ 	bstod tshogs ka_.txt	རང་བཞིན་ཅན  །_།  གོས་པ  མེད་ཅིང  མི  འགྱུར  ཞི་ལ  མི  མཉམ  མཉམ་པ  ཁྱབ་པ 
