 སུ  ཞུགས 						སུ 	ཞུགས 	གྱུར་ཀྱང 	།_། 	འགའ་རུ 	འབྱུང་བ 	bstod tshogs ka_.txt	     སུ  ཞུགས  གྱུར་ཀྱང  །_།  འགའ་རུ  འབྱུང་བ 
 སུ  སྤྱོད་ཡུལ 						སུ 	སྤྱོད་ཡུལ 	ཉིད་དུ་མཐོང 	།_། 	གཟུགས་སུ 	མཐོང་བ 	bstod tshogs ka_.txt	     སུ  སྤྱོད་ཡུལ  ཉིད་དུ་མཐོང  །_།  གཟུགས་སུ  མཐོང་བ 
 སུ མ 						སུ	མ 	བསྟན་པ 	།_། 	སེམས 	ཅན 	bstod tshogs ka_.txt	     སུ མ  བསྟན་པ  །_།  སེམས  ཅན 
 སུ  །_། 						སུ 	།_། 	འདས་དང 	བལྟམས་དང 	མངོན་བྱང་ཆུབ 	།_། 	bstod tshogs ka_.txt	     སུ  །_།  འདས་དང  བལྟམས་དང  མངོན་བྱང་ཆུབ  །_། 
 སུ ངས 						སུ	ངས 	།_། 	ཚོར 	བྱ 	མེད་པ 	bstod tshogs ka_.txt	     སུ ངས  །_།  ཚོར  བྱ  མེད་པ 
 སུ ང་བ 						སུ	ང་བ 	ཁྱོད་ཀྱིས་བསྟན 	།_། 	བྱེད་པོ 	རང་དབང 	bstod tshogs ka_.txt	     སུ ང་བ  ཁྱོད་ཀྱིས་བསྟན  །_།  བྱེད་པོ  རང་དབང 
 སུ ང 						སུ	ང 	།_། 	ཤེས་པ 	མེད་པ 	-ར 	bstod tshogs ka_.txt	     སུ ང  །_།  ཤེས་པ  མེད་པ  -ར 
 སུ ང 						སུ	ང 	།_། 	མཚན 	ཉིད 	མཚོན་བྱ 	bstod tshogs ka_.txt	     སུ ང  །_།  མཚན  ཉིད  མཚོན་བྱ 
 སུ ངས 						སུ	ངས 	།_། 	དེ 	ཕྱིར 	ཁྱོད་ཀྱིས 	bstod tshogs ka_.txt	     སུ ངས  །_།  དེ  ཕྱིར  ཁྱོད་ཀྱིས 
 སུ  བརྟགས་པ་ལས 						སུ 	བརྟགས་པ་ལས 	བྱུང་བར 	།_། 	ཀུན་དུ 	ཤེས་བྱ 	bstod tshogs ka_.txt	     སུ  བརྟགས་པ་ལས  བྱུང་བར  །_།  ཀུན་དུ  ཤེས་བྱ 
 སུ ངས 						སུ	ངས 	།_། 	རྟག་ལ 	འཁོར་བ 	ཡོད 	bstod tshogs ka_.txt	     སུ ངས  །_།  རྟག་ལ  འཁོར་བ  ཡོད 
 སུ ངས 						སུ	ངས 	།_། 	སྡུག 	བསྔལ 	རང་གིས 	bstod tshogs ka_.txt	     སུ ངས  །_།  སྡུག  བསྔལ  རང་གིས 
 སུ ངས 						སུ	ངས 	།_། 	རྟེན་ཅིང 	འབྲེལ 	པར་གང 	bstod tshogs ka_.txt	     སུ ངས  །_།  རྟེན་ཅིང  འབྲེལ  པར་གང 
 སུ ་ཆུད 						སུ	་ཆུད 	།_། 	འཕགས་པ 	རྣམས་ཀྱིས 	བསྟན་པ་ཡི 	bstod tshogs ka_.txt	     སུ ་ཆུད  །_།  འཕགས་པ  རྣམས་ཀྱིས  བསྟན་པ་ཡི 
 སུ ངས་པ 						སུ	ངས་པ 	-འི་ཕྱིར 	།_། 	དེ 	ཕྱིར 	bstod tshogs ka_.txt	     སུ ངས་པ  -འི་ཕྱིར  །_།  དེ  ཕྱིར 
 སུ ང་བ 						སུ	ང་བ 	-ས 	བསྟན་པ་ཡིན 	།_། 	རྣམ 	bstod tshogs ka_.txt	     སུ ང་བ  -ས  བསྟན་པ་ཡིན  །_།  རྣམ 
 སུ  འགྲོ་བ 						སུ 	འགྲོ་བ 	-ར་ཤོག 	_། 	དོན 	དམ་པ 	bstod tshogs ka_.txt	     སུ  འགྲོ་བ  -ར་ཤོག  _།  དོན  དམ་པ 
 སུ མ་ལ 						སུ	མ་ལ 	བསྟོད་པ 	།_༄༅༅།_། 	རྒྱ 	གར 	bstod tshogs ka_.txt	     སུ མ་ལ  བསྟོད་པ  །_༄༅༅།_།  རྒྱ  གར 
 སུ མ་ལ 						སུ	མ་ལ 	བསྟོད་པ་ཞེས 	བྱ་བ 	།_། 	འཕགས་པ 	bstod tshogs ka_.txt	     སུ མ་ལ  བསྟོད་པ་ཞེས  བྱ་བ  །_།  འཕགས་པ 
ཕུན  སུ མ 	མ་ཡིན 	བདག་དང 	གཞན་ལ 	ཕན་པ 	ཕུན 	སུ	མ 	ཚོགས་ཆེན 	གཞི 	-ར 	གྱུར་པ 	bstod tshogs ka_.txt	མ་ཡིན  བདག་དང  གཞན་ལ  ཕན་པ  ཕུན  སུ མ  ཚོགས་ཆེན  གཞི  -ར  གྱུར་པ 
 སུ མ་གྱི 						སུ	མ་གྱི 	འཇིགས 	སེལ་བ 	།_། 	ཕྱོགས 	bstod tshogs ka_.txt	     སུ མ་གྱི  འཇིགས  སེལ་བ  །_།  ཕྱོགས 
 སུ མ་ཡིད་དང 						སུ	མ་ཡིད་དང 	ཚིག་གི་ལམ་ལས 	རབ་ཏུ 	འདས་པ་ལ 	།_། 	bstod tshogs ka_.txt	     སུ མ་ཡིད་དང  ཚིག་གི་ལམ་ལས  རབ་ཏུ  འདས་པ་ལ  །_། 
 སུ མ 						སུ	མ 	ཐོབ་ནས 	འགྲོ་བ 	འདི་དག 	མ 	bstod tshogs ka_.txt	     སུ མ  ཐོབ་ནས  འགྲོ་བ  འདི་དག  མ 
 སུ མ་ལ 						སུ	མ་ལ 	བསྟོད་པ་ཞེས 	བྱ་བ 	སློབ་དཔོན 	འཕགས་པ 	bstod tshogs ka_.txt	     སུ མ་ལ  བསྟོད་པ་ཞེས  བྱ་བ  སློབ་དཔོན  འཕགས་པ 
 སུ མ་ལ 						སུ	མ་ལ 	བསྟོད་པ་ཞེས 	བྱ་བ 	-འི 	རྣམ་པ 	bstod tshogs ka_.txt	     སུ མ་ལ  བསྟོད་པ་ཞེས  བྱ་བ  -འི  རྣམ་པ 
