 ལས  གྲོལ 						ལས 	གྲོལ 	བསམ 	མི་ཁྱབ 	།_། 	འཁོར 	bstod tshogs ka_.txt	     ལས  གྲོལ  བསམ  མི་ཁྱབ  །_།  འཁོར 
 ལས ་འདས 						ལས	་འདས 	།_། 	དབང་པོ 	ཀུན་གྱི 	སྤྱོད་ཡུལ་མིན 	bstod tshogs ka_.txt	     ལས ་འདས  །_།  དབང་པོ  ཀུན་གྱི  སྤྱོད་ཡུལ་མིན 
 ལས  འདས 						ལས 	འདས 	གྱུར་ནས 	།_། 	པདྨ 	ཆེན་པོ 	bstod tshogs ka_.txt	     ལས  འདས  གྱུར་ནས  །_།  པདྨ  ཆེན་པོ 
 ལས  ཉམས 						ལས 	ཉམས 	མི་མངའ 	།_། 	ལེགས 	པར 	bstod tshogs ka_.txt	     ལས  ཉམས  མི་མངའ  །_།  ལེགས  པར 
 ལས  འོད་ཟེར་རྣམས 						ལས 	འོད་ཟེར་རྣམས 	།_། 	འབད་པ 	མེད་པ 	-ར 	bstod tshogs ka_.txt	     ལས  འོད་ཟེར་རྣམས  །_།  འབད་པ  མེད་པ  -ར 
 ལས  སེམས་ཅན 						ལས 	སེམས་ཅན 	དོན 	རབ་མཛད 	།_། 	ཆོས་ཀྱི 	bstod tshogs ka_.txt	     ལས  སེམས་ཅན  དོན  རབ་མཛད  །_།  ཆོས་ཀྱི 
།_།  ལས ་ཀྱི 	སྤྱོད་པ 	-འང 	སྟོན་པ 	-ར་མཛད 	།_། 	ལས	་ཀྱི 	སྒྲིབ་པ 	-འི 	སྐྱོན 	རྣམས་ནི 	bstod tshogs ka_.txt	སྤྱོད་པ  -འང  སྟོན་པ  -ར་མཛད  །_།  ལས ་ཀྱི  སྒྲིབ་པ  -འི  སྐྱོན  རྣམས་ནི 
།_།  ལས  སྤངས་པ 	ཁྱོད་ཀྱིས 	སེམས་ཅན 	རྗེས 	གཟུང་ཕྱིར 	།_། 	ལས 	སྤངས་པ 	-ར་ཡང 	རབ་ཏུ་བསྟན 	།_། 	ཆོས་ཀྱི 	bstod tshogs ka_.txt	ཁྱོད་ཀྱིས  སེམས་ཅན  རྗེས  གཟུང་ཕྱིར  །_།  ལས  སྤངས་པ  -ར་ཡང  རབ་ཏུ་བསྟན  །_།  ཆོས་ཀྱི 
 ལས  བསོད་ནམས་གང 						ལས 	བསོད་ནམས་གང 	ཐོབ་པར 	།_། 	གྱུར་པ 	འདི་ནི 	bstod tshogs ka_.txt	     ལས  བསོད་ནམས་གང  ཐོབ་པར  །_།  གྱུར་པ  འདི་ནི 
 ལས  འདས་པ 						ལས 	འདས་པ 	-ར 	བསྟོད་པ 	།༄༅༅།_། 	རྒྱ 	bstod tshogs ka_.txt	     ལས  འདས་པ  -ར  བསྟོད་པ  །༄༅༅།_།  རྒྱ 
 ལས  འདས་པ 						ལས 	འདས་པ 	-ར 	བསྟོད་པ 	།_ 	འཇམ 	bstod tshogs ka_.txt	     ལས  འདས་པ  -ར  བསྟོད་པ  །_  འཇམ 
 ལས  གྲོལ་བ་ཡི 						ལས 	གྲོལ་བ་ཡི 	།_། 	སེམས 	ཅན 	མེད་པ 	bstod tshogs ka_.txt	     ལས  གྲོལ་བ་ཡི  །_།  སེམས  ཅན  མེད་པ 
 ལས ་ཀྱང 						ལས	་ཀྱང 	།_། 	ཐ 	སྙད་དུ་ནི 	ཁྱོད་ཀྱིས་བསྟན 	bstod tshogs ka_.txt	     ལས ་ཀྱང  །_།  ཐ  སྙད་དུ་ནི  ཁྱོད་ཀྱིས་བསྟན 
བདག  ལས ་མ་ཡིན 	-འང 	མ་ཡིན 	ཡོད་མེད་མིན 	།_། 	བདག 	ལས	་མ་ཡིན 	གཞན་ལས་མིན 	།_། 	གཉིས 	མིན 	bstod tshogs ka_.txt	-འང  མ་ཡིན  ཡོད་མེད་མིན  །_།  བདག  ལས ་མ་ཡིན  གཞན་ལས་མིན  །_།  གཉིས  མིན 
 ལས  མིན 						ལས 	མིན 	རྨི་ལམ་དང 	།_། 	འདྲ 	བ 	bstod tshogs ka_.txt	     ལས  མིན  རྨི་ལམ་དང  །_།  འདྲ  བ 
རྒྱུ  ལས ་འབྲས 	མ 	ཞིག་པ 	དག་གིས 	།_། 	རྒྱུ 	ལས	་འབྲས 	བུ 	འབྱུང་བ་དག 	_། 	སྒྱུ 	bstod tshogs ka_.txt	མ  ཞིག་པ  དག་གིས  །_།  རྒྱུ  ལས ་འབྲས  བུ  འབྱུང་བ་དག  _།  སྒྱུ 
 ལས  བྱུང་བར 						ལས 	བྱུང་བར 	།_། 	ཀུན་དུ 	ཤེས་བྱ 	འབྱུང་བ་ནའང 	bstod tshogs ka_.txt	     ལས  བྱུང་བར  །_།  ཀུན་དུ  ཤེས་བྱ  འབྱུང་བ་ནའང 
 ལས  །_། 						ལས 	།_། 	བདག་གིས 	བསོད་ནམས་གང 	ཐོབ་པ 	།_། 	bstod tshogs ka_.txt	     ལས  །_།  བདག་གིས  བསོད་ནམས་གང  ཐོབ་པ  །_། 
 ལས  གྲོལ 						ལས 	གྲོལ 	གྱུར་ཅིག 	_། 	འཇིག 	རྟེན་ལས 	bstod tshogs ka_.txt	     ལས  གྲོལ  གྱུར་ཅིག  _།  འཇིག  རྟེན་ལས 
 ལས  །_། 						ལས 	།_། 	ལྷ 	གཞན 	བསྒྲུབ་ཏུ 	ཡོད 	bstod tshogs ka_.txt	     ལས  །_།  ལྷ  གཞན  བསྒྲུབ་ཏུ  ཡོད 
སེམས  ལས ་མ 	བདེ་དང 	སྡུག་བསྔལ 	མཚན་ཉིད་དག 	_། 	སེམས 	ལས	་མ 	གཏོགས 	ཅུང་ཟད་མེད 	།_། 	འགྲོ་བ 	bstod tshogs ka_.txt	བདེ་དང  སྡུག་བསྔལ  མཚན་ཉིད་དག  _།  སེམས  ལས ་མ  གཏོགས  ཅུང་ཟད་མེད  །_།  འགྲོ་བ 
 ལས  སངས་རྒྱས་འབྱུང 						ལས 	སངས་རྒྱས་འབྱུང 	།_། 	སེམས་ཀྱི 	རྡོ་རྗེ 	-འི 	bstod tshogs ka_.txt	     ལས  སངས་རྒྱས་འབྱུང  །_།  སེམས་ཀྱི  རྡོ་རྗེ  -འི 
 ལས  ཤིན་ཏུ་འདས 						ལས 	ཤིན་ཏུ་འདས 	།_། 	ངག་གིས 	བརྗོད་པ 	-འི 	bstod tshogs ka_.txt	     ལས  ཤིན་ཏུ་འདས  །_།  ངག་གིས  བརྗོད་པ  -འི 
 ལས  འདས 						ལས 	འདས 	བསམ་གྱིས 	མི 	ཁྱབ་ལེགས 	མཛད་བརྒྱ་ཡི 	bstod tshogs ka_.txt	     ལས  འདས  བསམ་གྱིས  མི  ཁྱབ་ལེགས  མཛད་བརྒྱ་ཡི 
 ལས  བྱུང་བའི 						ལས 	བྱུང་བའི 	།_། 	བདེ 	བར 	གཤེགས་པ 	bstod tshogs ka_.txt	     ལས  བྱུང་བའི  །_།  བདེ  བར  གཤེགས་པ 
 ལས  རབ་ཏུ 						ལས 	རབ་ཏུ 	འདས་པ་ལ 	།_། 	བདག་གིས 	དད་པ 	bstod tshogs ka_.txt	     ལས  རབ་ཏུ  འདས་པ་ལ  །_།  བདག་གིས  དད་པ 
 ལས  བྱུང་བ 						ལས 	བྱུང་བ 	-འི 	མཚན་ཉིད་དུ 	འབྲེལ་པའམ 	།_ 	bstod tshogs ka_.txt	     ལས  བྱུང་བ  -འི  མཚན་ཉིད་དུ  འབྲེལ་པའམ  །_ 
 ལས  བྱུང་བ 						ལས 	བྱུང་བ 	-ས་ན 	།_ 	དེའི 	ཕྱིར 	bstod tshogs ka_.txt	     ལས  བྱུང་བ  -ས་ན  །_  དེའི  ཕྱིར 
 ལས  བྱུང་བ 						ལས 	བྱུང་བ 	-ར 	གྱུར་པ་སྟེ 	།_ 	གང་གིས 	bstod tshogs ka_.txt	     ལས  བྱུང་བ  -ར  གྱུར་པ་སྟེ  །_  གང་གིས 
 ལས ་ནི 						ལས	་ནི 	སཱ་ལུ 	-འི 	འབྲས་བུའོ 	།_། 	bstod tshogs ka_.txt	     ལས ་ནི  སཱ་ལུ  -འི  འབྲས་བུའོ  །_། 
 ལས  གང་ཞིག 						ལས 	གང་ཞིག 	འབྱུང་བ 	-ར 	འགྱུར་བ་ནི 	རྟག་པ་དང 	bstod tshogs ka_.txt	     ལས  གང་ཞིག  འབྱུང་བ  -ར  འགྱུར་བ་ནི  རྟག་པ་དང 
 ལས ་ཀྱང 						ལས	་ཀྱང 	ཅུང་ཟད 	སྐྱེ་བ 	མེད་དེ 	།_ 	bstod tshogs ka_.txt	     ལས ་ཀྱང  ཅུང་ཟད  སྐྱེ་བ  མེད་དེ  །_ 
