 ནས  །_། 						ནས 	།_། 	དབང 	ཕྱུག 	ཆེན་པོ 	-འི 	bstod tshogs ka_.txt	     ནས  །_།  དབང  ཕྱུག  ཆེན་པོ  -འི 
 ནས ་མཆོག་དང 						ནས	་མཆོག་དང 	_།_། 	འོག་མིན 	ཉིད་དེ་རྣམ 	མཛེས་པ 	bstod tshogs ka_.txt	     ནས ་མཆོག་དང  _།_།  འོག་མིན  ཉིད་དེ་རྣམ  མཛེས་པ 
 ནས ་པའི 						ནས	་པའི 	།_། 	རྒྱུ་གང 	མི་ཟད་པ་དེ་ཉིད 	།_། 	bstod tshogs ka_.txt	     ནས ་པའི  །_།  རྒྱུ་གང  མི་ཟད་པ་དེ་ཉིད  །_། 
 ནས ་པ་ལས 						ནས	་པ་ལས 	།_། 	ངང་པ 	འོ་མ 	འཐུང་བྱེད་ཅིང 	bstod tshogs ka_.txt	     ནས ་པ་ལས  །_།  ངང་པ  འོ་མ  འཐུང་བྱེད་ཅིང 
 ནས  །_། 						ནས 	།_། 	དེ 	བཞིན 	ཉོན་མོངས་ཀྱིས 	གཡོགས་ནས 	bstod tshogs ka_.txt	     ནས  །_།  དེ  བཞིན  ཉོན་མོངས་ཀྱིས  གཡོགས་ནས 
 ནས ་ཀྱང 						ནས	་ཀྱང 	_།_། 	རྣལ་འབྱོར་པ་ཡིས 	ཡེ་ཤེས་ལེན 	།_། 	bstod tshogs ka_.txt	     ནས ་ཀྱང  _།_།  རྣལ་འབྱོར་པ་ཡིས  ཡེ་ཤེས་ལེན  །_། 
 ནས  །_། 						ནས 	།_། 	དཀའ 	སྤྱོད 	སྣ་ཚོགས 	སྦྱིན་པ་དང 	bstod tshogs ka_.txt	     ནས  །_།  དཀའ  སྤྱོད  སྣ་ཚོགས  སྦྱིན་པ་དང 
 ནས  ཡེ་ཤེས་ཏེ 						ནས 	ཡེ་ཤེས་ཏེ 	།_། 	ཁམས 	རྒྱས་བྱེད་པ 	-འི 	bstod tshogs ka_.txt	     ནས  ཡེ་ཤེས་ཏེ  །_།  ཁམས  རྒྱས་བྱེད་པ  -འི 
 ནས  །_། 						ནས 	།_། 	ཉེ 	བར་གནས་ཤིང 	བསྒྲུབས་པ་ལས 	།_། 	bstod tshogs ka_.txt	     ནས  །_།  ཉེ  བར་གནས་ཤིང  བསྒྲུབས་པ་ལས  །_། 
 ནས  །_། 						ནས 	།_། 	ཉེ 	བར་གནས་ཤིང 	བསྒྲུབས་པ་ལས 	།_། 	bstod tshogs ka_.txt	     ནས  །_།  ཉེ  བར་གནས་ཤིང  བསྒྲུབས་པ་ལས  །_། 
 ནས  །_། 						ནས 	།_། 	ཕྱིར 	མི་ལྡོག 	པར 	ཡང་ཡང 	bstod tshogs ka_.txt	     ནས  །_།  ཕྱིར  མི་ལྡོག  པར  ཡང་ཡང 
 ནས  །_། 						ནས 	།_། 	དཀར་པོ 	-འི 	གཞི་ནི 	རབ 	bstod tshogs ka_.txt	     ནས  །_།  དཀར་པོ  -འི  གཞི་ནི  རབ 
 ནས  །_། 						ནས 	།_། 	དྲི 	མེད 	ཤེས་རབ 	རབ་གསལ་བས 	bstod tshogs ka_.txt	     ནས  །_།  དྲི  མེད  ཤེས་རབ  རབ་གསལ་བས 
