 _ ། 						_	། 	སེམས 	ཅན 	རྣམས་ལ 	སླུ་བ་ཡི 	bstod tshogs ka_.txt	     _ །  སེམས  ཅན  རྣམས་ལ  སླུ་བ་ཡི 
 _ ། 						_	། 	བདུད 	འཇོམས 	ཁྱོད་ལ 	ཕྱག 	bstod tshogs ka_.txt	     _ །  བདུད  འཇོམས  ཁྱོད་ལ  ཕྱག 
 _ ། 						_	། 	ཡེ 	ཤེས་དང་ནི 	སྤངས་པ་དང 	།_། 	bstod tshogs ka_.txt	     _ །  ཡེ  ཤེས་དང་ནི  སྤངས་པ་དང  །_། 
 _ ། 						_	། 	བདག 	གཞན་དོན་ལ 	མུ་སྟེགས་གཞན 	།_། 	bstod tshogs ka_.txt	     _ །  བདག  གཞན་དོན་ལ  མུ་སྟེགས་གཞན  །_། 
 _ ། 						_	། 	འཁོར་དུ 	ཚར 	བཅད 	གསུང 	bstod tshogs ka_.txt	     _ །  འཁོར་དུ  ཚར  བཅད  གསུང 
 _ ། 						_	། 	ཀུན་ནས 	ཉོན་མོངས 	གཏན 	སྤངས་ལ 	bstod tshogs ka_.txt	     _ །  ཀུན་ནས  ཉོན་མོངས  གཏན  སྤངས་ལ 
 _ ། 						_	། 	བསྲུང་བ 	མི 	མངའ 	བསྙེལ 	bstod tshogs ka_.txt	     _ །  བསྲུང་བ  མི  མངའ  བསྙེལ 
 _ ། 						_	། 	ཚོགས 	སྡུད 	ཁྱོད་ལ 	ཕྱག 	bstod tshogs ka_.txt	     _ །  ཚོགས  སྡུད  ཁྱོད་ལ  ཕྱག 
 _ ། 						_	། 	གཤེགས 	བཞུགས 	ཀུན་དུ 	རྟག་པ 	bstod tshogs ka_.txt	     _ །  གཤེགས  བཞུགས  ཀུན་དུ  རྟག་པ 
 _ ། 						_	། 	ཀུན 	མཁྱེན 	མ 	ལགས 	bstod tshogs ka_.txt	     _ །  ཀུན  མཁྱེན  མ  ལགས 
 _ ། 						_	། 	ཁྱོད་ནི 	ཡང་དག 	དོན་དུ་ན 	།_། 	bstod tshogs ka_.txt	     _ །  ཁྱོད་ནི  ཡང་དག  དོན་དུ་ན  །_། 
 _ ། 						_	། 	སེམས 	ཅན 	ཀུན་གྱི 	དོན 	bstod tshogs ka_.txt	     _ །  སེམས  ཅན  ཀུན་གྱི  དོན 
 _ ། 						_	། 	ཁྱོན་ནི 	དུས་ལས 	ཡོང 	མི་འདའ 	bstod tshogs ka_.txt	     _ །  ཁྱོན་ནི  དུས་ལས  ཡོང  མི་འདའ 
 _ ། 						_	། 	རྟག་ཏུ 	འབྲས་བུ 	ཡོད 	མཛད་པ 	bstod tshogs ka_.txt	     _ །  རྟག་ཏུ  འབྲས་བུ  ཡོད  མཛད་པ 
 _ ། 						_	། 	མི 	བསྙེལ 	ཁྱོད་ལ 	ཕྱག 	bstod tshogs ka_.txt	     _ །  མི  བསྙེལ  ཁྱོད་ལ  ཕྱག 
 _ ། 						_	། 	འཇིག 	རྟེན 	ཀུན་ལ 	གདུགས 	bstod tshogs ka_.txt	     _ །  འཇིག  རྟེན  ཀུན་ལ  གདུགས 
ཞག་གཅིག  _ ། 					ཞག་གཅིག 	_	། 	ལན་དྲུག་ཏུ་ནི 	གཟིགས 	མཛད་པ 	།_། 	bstod tshogs ka_.txt	    ཞག་གཅིག  _ །  ལན་དྲུག་ཏུ་ནི  གཟིགས  མཛད་པ  །_། 
 _ ། 						_	། 	ཕན 	དགོངས 	ཁྱོད་ལ 	ཕྱག 	bstod tshogs ka_.txt	     _ །  ཕན  དགོངས  ཁྱོད་ལ  ཕྱག 
 _ ། 						_	། 	གཤེགས་དང 	ཐུགས་སུ 	ཆུད་པ་དང 	།_། 	bstod tshogs ka_.txt	     _ །  གཤེགས་དང  ཐུགས་སུ  ཆུད་པ་དང  །_། 
 _ ། 						_	། 	ཉན 	ཐོས་དང་ནི 	རང 	སངས་རྒྱས 	bstod tshogs ka_.txt	     _ །  ཉན  ཐོས་དང་ནི  རང  སངས་རྒྱས 
 _ ། 						_	། 	ཀུན 	མཆོག 	ཁྱོད་ལ 	ཕྱག 	bstod tshogs ka_.txt	     _ །  ཀུན  མཆོག  ཁྱོད་ལ  ཕྱག 
 _ ། 						_	། 	བྱང 	ཆུབ 	ཆེན་པོ 	-འི 	bstod tshogs ka_.txt	     _ །  བྱང  ཆུབ  ཆེན་པོ  -འི 
 _ ། 						_	། 	སྐུ་གསུམ 	དག་གིས 	བརྙེས 	གྱུར་པ 	bstod tshogs ka_.txt	     _ །  སྐུ་གསུམ  དག་གིས  བརྙེས  གྱུར་པ 
 _ ། 						_	། 	ཀུན་དུ 	སེམས་ཅན 	ཐམས་ཅད་ཀྱི 	།_། 	bstod tshogs ka_.txt	     _ །  ཀུན་དུ  སེམས་ཅན  ཐམས་ཅད་ཀྱི  །_། 
 _ ། 						_	། 	སྲི་བ 	མི 	མངའ 	སྐྱོན 	bstod tshogs ka_.txt	     _ །  སྲི་བ  མི  མངའ  སྐྱོན 
 _ ། 						_	། 	རྙོག་པ 	མི 	མངའ 	བཞུགས 	bstod tshogs ka_.txt	     _ །  རྙོག་པ  མི  མངའ  བཞུགས 
 _ ། 						_	། 	གཡོ་བ 	མི 	མངའ 	ཆོས 	bstod tshogs ka_.txt	     _ །  གཡོ་བ  མི  མངའ  ཆོས 
 _ ། 						_	། 	མ 	སྤྲོས 	ཁྱོད་ལ 	ཕྱག 	bstod tshogs ka_.txt	     _ །  མ  སྤྲོས  ཁྱོད་ལ  ཕྱག 
 _ ། 						_	། 	ཆོས 	སྐུ་ལ 	གནས 	ཡོན་ཏན 	bstod tshogs ka_.txt	     _ །  ཆོས  སྐུ་ལ  གནས  ཡོན་ཏན 
 _ ། 						_	། 	ཡོན་ཏན་དྲུག 	ལྡན 	སྐུ་གསུམ་པོ་ནི 	ཡོངས་སུ 	bstod tshogs ka_.txt	     _ །  ཡོན་ཏན་དྲུག  ལྡན  སྐུ་གསུམ་པོ་ནི  ཡོངས་སུ 
 _ ། 						_	། 	བདག 	སོགས 	འགྲོ་བ 	རྣམས་ཀྱིས་མྱུར་དུ 	bstod tshogs ka_.txt	     _ །  བདག  སོགས  འགྲོ་བ  རྣམས་ཀྱིས་མྱུར་དུ 
 _ ། 	རྟོགས་པ 	-ར་ཤོག 				_	། 	ཆོས་ཀྱི 	སྐུ་ལ 	གནས་པ 	-འི 	bstod tshogs ka_.txt	རྟོགས་པ  -ར་ཤོག     _ །  ཆོས་ཀྱི  སྐུ་ལ  གནས་པ  -འི 
 _  སློབ་དཔོན 						_ 	སློབ་དཔོན 	ཐོགས་མེད་ཀྱིས 	མཛད་པ 	རྫོགས་སོ 	།།_།།_ 	bstod tshogs ka_.txt	     _  སློབ་དཔོན  ཐོགས་མེད་ཀྱིས  མཛད་པ  རྫོགས་སོ  །།_།།_ 
 _  ཤཱི་ལེཎྡྲ་བོ་དྷི་དང 						_ 	ཤཱི་ལེཎྡྲ་བོ་དྷི་དང 	།_ 	ཞུ་ཆེན་གྱི 	ལོ་ཙཱ་བ་བནྡེ 	ཡེ་ཤེས 	bstod tshogs ka_.txt	     _  ཤཱི་ལེཎྡྲ་བོ་དྷི་དང  །_  ཞུ་ཆེན་གྱི  ལོ་ཙཱ་བ་བནྡེ  ཡེ་ཤེས 
 _ །།༄༅།_། 						_	།།༄༅།_། 	ཆོས་ཀྱི 	དབྱིངས་སུ 	བསྟོད་པ 	།༄༅།_། 	bstod tshogs ka_.txt	     _ །།༄༅།_།  ཆོས་ཀྱི  དབྱིངས་སུ  བསྟོད་པ  །༄༅།_། 
 _  དྷརྨ་དྷཱ་ཏུ་སྟ་བཾ 						_ 	དྷརྨ་དྷཱ་ཏུ་སྟ་བཾ 	།_ 	བོད 	སྐད་དུ 	།_ 	bstod tshogs ka_.txt	     _  དྷརྨ་དྷཱ་ཏུ་སྟ་བཾ  །_  བོད  སྐད་དུ  །_ 
 _  འཕགས་པ 						_ 	འཕགས་པ 	འཇམ་དཔལ་གཞོན 	ནུར 	གྱུར་པ་ལ 	ཕྱག 	bstod tshogs ka_.txt	     _  འཕགས་པ  འཇམ་དཔལ་གཞོན  ནུར  གྱུར་པ་ལ  ཕྱག 
 _ ། 						_	། 	གང་ཞིག 	ཀུན 	དུ་མ 	ཤེས་ན 	bstod tshogs ka_.txt	     _ །  གང་ཞིག  ཀུན  དུ་མ  ཤེས་ན 
 _ ། 						_	། 	སྲིད་པ་གསུམ་དུ་རྣམ 	འཁོར་བ 	།_། 	སེམས 	bstod tshogs ka_.txt	     _ །  སྲིད་པ་གསུམ་དུ་རྣམ  འཁོར་བ  །_།  སེམས 
 _ ། 						_	། 	ཆོས་ཀྱི 	དབྱིངས་ལ 	ཕྱག 	འཚལ་འདུད 	bstod tshogs ka_.txt	     _ །  ཆོས་ཀྱི  དབྱིངས་ལ  ཕྱག  འཚལ་འདུད 
 _ ། 						_	། 	གང་ཞིག 	འཁོར་བ 	-འི 	རྒྱུ 	bstod tshogs ka_.txt	     _ །  གང་ཞིག  འཁོར་བ  -འི  རྒྱུ 
 _ ། 						_	། 	དེ 	ཉིད 	སྦྱང་བ 	བྱས་པ་ལས 	bstod tshogs ka_.txt	     _ །  དེ  ཉིད  སྦྱང་བ  བྱས་པ་ལས 
 _ ། 						_	། 	དག་པ 	དེ་ཉིད 	མྱ་ངན་འདས 	།_། 	bstod tshogs ka_.txt	     _ །  དག་པ  དེ་ཉིད  མྱ་ངན་འདས  །_། 
 _ ། 						_	། 	ཇི 	ལྟར 	འོ་མ་དང 	འདྲེས་པས 	bstod tshogs ka_.txt	     _ །  ཇི  ལྟར  འོ་མ་དང  འདྲེས་པས 
 _ ། 						_	། 	མར་གྱི 	སྙིང་པོ 	མི 	སྣང་བ 	bstod tshogs ka_.txt	     _ །  མར་གྱི  སྙིང་པོ  མི  སྣང་བ 
 _ ། 						_	། 	དེ 	བཞིན 	ཉོན་མོངས་དང 	འདྲེས་པས 	bstod tshogs ka_.txt	     _ །  དེ  བཞིན  ཉོན་མོངས་དང  འདྲེས་པས 
མཐོང་ངོ  _ །_། 	།_། 	ཆོས་ཀྱི 	དབྱིངས་ཀྱང 	མི 	མཐོང་ངོ 	_	།_། 	ཇི་ལྟར 	འོ་མ་རྣམ 	སྦྱངས་པས 	།_། 	bstod tshogs ka_.txt	།_།  ཆོས་ཀྱི  དབྱིངས་ཀྱང  མི  མཐོང་ངོ  _ །_།  ཇི་ལྟར  འོ་མ་རྣམ  སྦྱངས་པས  །_། 
 _ ། 						_	། 	དེ 	བཞིན 	ཉོན་མོངས་རྣམ 	སྦྱངས་པས 	bstod tshogs ka_.txt	     _ །  དེ  བཞིན  ཉོན་མོངས་རྣམ  སྦྱངས་པས 
 _ ། 						_	། 	ཆོས 	དབྱིངས 	ཤིན་ཏུ 	དྲི་མེད་འགྱུར 	bstod tshogs ka_.txt	     _ །  ཆོས  དབྱིངས  ཤིན་ཏུ  དྲི་མེད་འགྱུར 
 _ ། 						_	། 	ཇི 	ལྟར 	མར་མེ་བུམ 	ནང་གནས 	bstod tshogs ka_.txt	     _ །  ཇི  ལྟར  མར་མེ་བུམ  ནང་གནས 
 _ ། 						_	། 	ཅུང་ཞིག 	སྣང་བ 	-ར 	མི 	bstod tshogs ka_.txt	     _ །  ཅུང་ཞིག  སྣང་བ  -ར  མི 
 _ ། 						_	། 	དེ 	བཞིན 	ཉོན་མོངས་བུམ 	ནང་གནས 	bstod tshogs ka_.txt	     _ །  དེ  བཞིན  ཉོན་མོངས་བུམ  ནང་གནས 
མཐོང་ངོ  _ །_། 	།_། 	ཆོས་ཀྱི 	དབྱིངས་ཀྱང 	མི 	མཐོང་ངོ 	_	།_། 	ཕྱོགས་ནི 	གང་དང་གང 	དག་ནས 	།_། 	bstod tshogs ka_.txt	།_།  ཆོས་ཀྱི  དབྱིངས་ཀྱང  མི  མཐོང་ངོ  _ །_།  ཕྱོགས་ནི  གང་དང་གང  དག་ནས  །_། 
 _ ། 						_	། 	དེ་དང་དེ་ཡི 	ཕྱོགས 	ཉིད་ནས 	།_། 	bstod tshogs ka_.txt	     _ །  དེ་དང་དེ་ཡི  ཕྱོགས  ཉིད་ནས  །_། 
 _ ། 						_	། 	གང 	ཚེ 	ཏིང་འཛིན 	རྡོ་རྗེ་ཡིས 	bstod tshogs ka_.txt	     _ །  གང  ཚེ  ཏིང་འཛིན  རྡོ་རྗེ་ཡིས 
 _ ། 						_	། 	བུམ་པ་དེ་ནི 	བཅག 	གྱུར་པ 	།_། 	bstod tshogs ka_.txt	     _ །  བུམ་པ་དེ་ནི  བཅག  གྱུར་པ  །_། 
 _ ། 						_	། 	མཐར 	ཐུག 	བར་དུ 	སྣང་བ 	bstod tshogs ka_.txt	     _ །  མཐར  ཐུག  བར་དུ  སྣང་བ 
 _ ། 						_	། 	ཆོས་ཀྱི 	དབྱིངས་ནི 	སྐྱེ 	མ་ཡིན 	bstod tshogs ka_.txt	     _ །  ཆོས་ཀྱི  དབྱིངས་ནི  སྐྱེ  མ་ཡིན 
 _ ། 						_	། 	ནམ་ཡང 	འགག་པ 	-ར 	འགྱུར་བ་མེད 	bstod tshogs ka_.txt	     _ །  ནམ་ཡང  འགག་པ  -ར  འགྱུར་བ་མེད 
 _ ། 						_	། 	དུས 	རྣམས 	ཀུན་དུ 	ཉོན་མོངས་མེད 	bstod tshogs ka_.txt	     _ །  དུས  རྣམས  ཀུན་དུ  ཉོན་མོངས་མེད 
