 ཞེས  མི་བརྟག 						ཞེས 	མི་བརྟག 	_། 	ཇི 	ལྟར 	སྦུན་པ་ལས 	bstod tshogs ka_.txt	     ཞེས  མི་བརྟག  _།  ཇི  ལྟར  སྦུན་པ་ལས 
 ཞེས  བྱ་བ་ལས 						ཞེས 	བྱ་བ་ལས 	རྨད་དུ 	བྱུང་བ 	-ར 	བསྟོད་པ་ཞེས 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ལས  རྨད་དུ  བྱུང་བ  -ར  བསྟོད་པ་ཞེས 
 ཞེས  བྱ་བ་ལས 						ཞེས 	བྱ་བ་ལས 	སྐུ་ལ 	བསྟོད་པ་ཞེས 	བྱ་བ་སྟེ 	ལེའུ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ལས  སྐུ་ལ  བསྟོད་པ་ཞེས  བྱ་བ་སྟེ  ལེའུ 
 ཞེས  བྱ་བ་ལས 						ཞེས 	བྱ་བ་ལས 	ཐུགས་རྗེ་ལ 	བསྟོད་པ་ཞེས 	བྱ་བ་སྟེ 	ལེའུ་དྲུག་པའོ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ལས  ཐུགས་རྗེ་ལ  བསྟོད་པ་ཞེས  བྱ་བ་སྟེ  ལེའུ་དྲུག་པའོ 
 ཞེས  །_། 						ཞེས 	།_། 	སུ་ཞིག 	ངེས་པ 	བསྐྱེད 	མི་འགྱུར 	bstod tshogs ka_.txt	     ཞེས  །_།  སུ་ཞིག  ངེས་པ  བསྐྱེད  མི་འགྱུར 
 ཞེས  བྱ་བ་ལས 						ཞེས 	བྱ་བ་ལས 	གསུང་ལ 	བསྟོད་པ་ཞེས 	བྱ་བ་སྟེ 	ལེའུ་བདུན་པའོ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ལས  གསུང་ལ  བསྟོད་པ་ཞེས  བྱ་བ་སྟེ  ལེའུ་བདུན་པའོ 
 ཞེས  བྱ་འདིས 						ཞེས 	བྱ་འདིས 	།_། 	ལུང་གི 	དོན་ནི 	བསམས་པ་དང 	bstod tshogs ka_.txt	     ཞེས  བྱ་འདིས  །_།  ལུང་གི  དོན་ནི  བསམས་པ་དང 
 ཞེས  བྱ་བ་ལས 						ཞེས 	བྱ་བ་ལས 	བསྟན་པ་ལ 	བསྟོད་པ་ཞེས 	བྱ་བ་སྟེ 	ལེའུ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ལས  བསྟན་པ་ལ  བསྟོད་པ་ཞེས  བྱ་བ་སྟེ  ལེའུ 
 ཞེས  བྱ་བ་ལས 						ཞེས 	བྱ་བ་ལས 	སྨོན་ལམ་གྱི 	བསྟོད་པ་ཞེས 	བྱ་བ་སྟེ 	ལེའུ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ལས  སྨོན་ལམ་གྱི  བསྟོད་པ་ཞེས  བྱ་བ་སྟེ  ལེའུ 
 ཞེས ་པ 						ཞེས	་པ 	-ར་མཛད 	།_། 	ཁྱོད་ནི 	ཉམ་ཐག 	bstod tshogs ka_.txt	     ཞེས ་པ  -ར་མཛད  །_།  ཁྱོད་ནི  ཉམ་ཐག 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	ལས་ལམ་ལ 	འཇུག་པ་ལ 	བསྟོད་པ་ཞེས 	བྱ་བ་སྟེ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  ལས་ལམ་ལ  འཇུག་པ་ལ  བསྟོད་པ་ཞེས  བྱ་བ་སྟེ 
 ཞེས  བྱ་བ་ལས 						ཞེས 	བྱ་བ་ལས 	དཀའ་བ 	མཛད་པ་ལ 	བསྟོད་པ་ཞེས 	བྱ་བ་སྟེ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ལས  དཀའ་བ  མཛད་པ་ལ  བསྟོད་པ་ཞེས  བྱ་བ་སྟེ 
 ཞེས  བྱ་བ་ལས 						ཞེས 	བྱ་བ་ལས 	མཁས་པ 	-ར 	བསྟོད་པ་ཞེས 	བྱ་བ་སྟེ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ལས  མཁས་པ  -ར  བསྟོད་པ་ཞེས  བྱ་བ་སྟེ 
 ཞེས  །_། 						ཞེས 	།_། 	འཇིག 	རྟེན 	ཡིད་ཆེས 	དཀའ 	bstod tshogs ka_.txt	     ཞེས  །_།  འཇིག  རྟེན  ཡིད་ཆེས  དཀའ 
 ཞེས  བྱ་བ་ལས 						ཞེས 	བྱ་བ་ལས 	བུ་ལོན 	མེད་པ 	-ར 	བསྟོད་པ་ཞེས 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ལས  བུ་ལོན  མེད་པ  -ར  བསྟོད་པ་ཞེས 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	སློབ་དཔོན 	ཆེན་པོ 	མ་ཏི་ཙི་ཊ་དང 	།_ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  སློབ་དཔོན  ཆེན་པོ  མ་ཏི་ཙི་ཊ་དང  །_ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	གླེང 	བསླང་བ 	-འི 	ཚིགས་སུ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  གླེང  བསླང་བ  -འི  ཚིགས་སུ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི 	-ས་ནི 	སྒྲོ་འདོགས་པ 	མེད་པ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི  -ས་ནི  སྒྲོ་འདོགས་པ  མེད་པ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི 	-ས་ནི 	ང་རྒྱལ 	མེད་པ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི  -ས་ནི  ང་རྒྱལ  མེད་པ 
།_  ཞེས  བྱ་བ 	བདག་ནི 	བློ་གྲོས 	རབ་ཏུ་ཆུང་ཡང 	བརྩོན་པ་ལགས 	།_ 	ཞེས 	བྱ་བ 	འདི 	-ས་ནི 	འདོད་པ 	-འི 	bstod tshogs ka_.txt	བདག་ནི  བློ་གྲོས  རབ་ཏུ་ཆུང་ཡང  བརྩོན་པ་ལགས  །_  ཞེས  བྱ་བ  འདི  -ས་ནི  འདོད་པ  -འི 
 ཞེས  བྱ་བ་ལ 						ཞེས 	བྱ་བ་ལ 	སོགས་པ 	-འི 	ཚིགས་སུ 	བཅད་པ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ལ  སོགས་པ  -འི  ཚིགས་སུ  བཅད་པ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི 	-ས་ནི 	གཞན་གྱི 	དོན་ལ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི  -ས་ནི  གཞན་གྱི  དོན་ལ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་ནི 	སྡུག་བསྔལ 	བསྐྱེད་པ 	ལ་སོ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་ནི  སྡུག་བསྔལ  བསྐྱེད་པ  ལ་སོ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་ནི 	ཕན 	བཏགས་པ 	ལ་སོ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་ནི  ཕན  བཏགས་པ  ལ་སོ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་ནི 	གྲོགས 	བྱས་པ 	ལ་སོ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་ནི  གྲོགས  བྱས་པ  ལ་སོ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་ནི 	ཡང་དག 	པར 	ལོངས 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་ནི  ཡང་དག  པར  ལོངས 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་ནི 	བྱང་ཆུབ་ཀྱི 	སྨོན་ལམ་ཡིན་ནོ 	།_། 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་ནི  བྱང་ཆུབ་ཀྱི  སྨོན་ལམ་ཡིན་ནོ  །_། 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་ནི 	རིགས 	ཡོད་པ 	ཉིད་ཡིན་ནོ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་ནི  རིགས  ཡོད་པ  ཉིད་ཡིན་ནོ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་ནི 	དགེ་བ 	-འི 	བཤེས་གཉེན་ལ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་ནི  དགེ་བ  -འི  བཤེས་གཉེན་ལ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་ནི 	སྡུག་བསྔལ་གྱིས 	མི་ལྡོག་པ་ཡིན་ཏེ 	།_ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་ནི  སྡུག་བསྔལ་གྱིས  མི་ལྡོག་པ་ཡིན་ཏེ  །_ 
 ཞེས  བྱ་བ་ཡང 						ཞེས 	བྱ་བ་ཡང 	ཕ་རོལ་ཏུ 	ཕྱིན་པ 	སྟོན་པ 	ཇི་སྙེད་པ་ཡིན་ནོ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ཡང  ཕ་རོལ་ཏུ  ཕྱིན་པ  སྟོན་པ  ཇི་སྙེད་པ་ཡིན་ནོ 
།_།  ཞེས  བྱ་བ 	-འི 	བསམ 	ལྡན 	མཐོང་ན་ཡང 	།_། 	ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི 	སྦྱིན་པ 	-འི 	ཕ་རོལ་ཏུ 	bstod tshogs ka_.txt	-འི  བསམ  ལྡན  མཐོང་ན་ཡང  །_།  ཞེས  བྱ་བ  འདི་དག་གིས་ནི  སྦྱིན་པ  -འི  ཕ་རོལ་ཏུ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི 	ཚུལ་ཁྲིམས་ཀྱི 	ཕ་རོལ་ཏུ 	ཕྱིན་པ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་གིས་ནི  ཚུལ་ཁྲིམས་ཀྱི  ཕ་རོལ་ཏུ  ཕྱིན་པ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི 	མི་མཐུན་པ 	-འི 	ཕྱོགས 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་གིས་ནི  མི་མཐུན་པ  -འི  ཕྱོགས 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི 	མི་མཐུན་པ 	-འི 	ཕྱོགས 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་གིས་ནི  མི་མཐུན་པ  -འི  ཕྱོགས 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི 	མི་མཐུན་པ 	-འི 	ཕྱོགས 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་གིས་ནི  མི་མཐུན་པ  -འི  ཕྱོགས 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་དང 	།_ 	ཤེས 	རབ་ལ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་དང  །_  ཤེས  རབ་ལ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	-འི 	ཚིགས་སུ 	བཅད་པ 	འདི་གཉིས་ཀྱིས 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  -འི  ཚིགས་སུ  བཅད་པ  འདི་གཉིས་ཀྱིས 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི 	ཕུན 	སུམ 	ཚོགས་པ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་གིས་ནི  ཕུན  སུམ  ཚོགས་པ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི 	སྟོབས་ཀྱི 	ཕ་རོལ་ཏུ 	ཕྱིན་པ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་གིས་ནི  སྟོབས་ཀྱི  ཕ་རོལ་ཏུ  ཕྱིན་པ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི 	ཡེ་ཤེས་ཀྱི 	ཕ་རོལ་ཏུ 	ཕྱིན་པ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་གིས་ནི  ཡེ་ཤེས་ཀྱི  ཕ་རོལ་ཏུ  ཕྱིན་པ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི 	བསམ་པ 	ཕུན 	སུམ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་གིས་ནི  བསམ་པ  ཕུན  སུམ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི 	སྦྱོར་བ 	ཕུན 	སུམ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་གིས་ནི  སྦྱོར་བ  ཕུན  སུམ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི 	ལེན་པ་པོ 	ཕུན 	སུམ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་གིས་ནི  ལེན་པ་པོ  ཕུན  སུམ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི 	སྦྱིན་པ 	-ར 	བྱ་བ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་གིས་ནི  སྦྱིན་པ  -ར  བྱ་བ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི 	རང་བཞིན 	ཡོངས་སུ 	དག་པ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་གིས་ནི  རང་བཞིན  ཡོངས་སུ  དག་པ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི 	རྣམ་པ 	-ར 	རྟོག་པ་དང 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་གིས་ནི  རྣམ་པ  -ར  རྟོག་པ་དང 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི 	ཐབས་ཀྱིས 	རྒྱས་པ 	-འི 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་གིས་ནི  ཐབས་ཀྱིས  རྒྱས་པ  -འི 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི 	སྐྱེ་བ 	-ས 	སྟོང་པ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་གིས་ནི  སྐྱེ་བ  -ས  སྟོང་པ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི 	ཐབས 	དང་བཅས་པ 	-འི 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་གིས་ནི  ཐབས  དང་བཅས་པ  -འི 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	-འི 	ཚིགས་སུ 	བཅད་པ 	འདི་གཉིས་ཀྱིས་ནི 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  -འི  ཚིགས་སུ  བཅད་པ  འདི་གཉིས་ཀྱིས་ནི 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི 	དེ 	-འི 	དགོས་པའོ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་གིས་ནི  དེ  -འི  དགོས་པའོ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི 	སྐྱེ་བ་ལ 	མངའ་དབང 	མཛད་པའོ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་གིས་ནི  སྐྱེ་བ་ལ  མངའ་དབང  མཛད་པའོ 
།_།  ཞེས  བྱ་བ 	ཡུལ་ཅན 	ཕྲ་རྒྱས 	རྣམས 	བཅོམ་ནས 	།_། 	ཞེས 	བྱ་བ 	དེ་དག་གིས་ནི 	དེ 	-འི 	དགོས་པའོ 	bstod tshogs ka_.txt	ཡུལ་ཅན  ཕྲ་རྒྱས  རྣམས  བཅོམ་ནས  །_།  ཞེས  བྱ་བ  དེ་དག་གིས་ནི  དེ  -འི  དགོས་པའོ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་གིས 	ནི་ལ 	-ས་ལ 	མངའ་དབང 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་གིས  ནི་ལ  -ས་ལ  མངའ་དབང 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི 	དེ 	-འི 	དགོས་པའོ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་གིས་ནི  དེ  -འི  དགོས་པའོ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི 	ཐབས་ལ 	མངའ་དབང 	མཛད་པའོ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་གིས་ནི  ཐབས་ལ  མངའ་དབང  མཛད་པའོ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི 	དེ 	-འི 	དགོས་པའོ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་གིས་ནི  དེ  -འི  དགོས་པའོ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི 	སེམས་ཅན 	ཡོངས་སུ 	སྨིན་པ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་གིས་ནི  སེམས་ཅན  ཡོངས་སུ  སྨིན་པ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི 	དེ 	-འི 	དགོས་པའོ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་གིས་ནི  དེ  -འི  དགོས་པའོ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི 	རྒྱུ 	ཡོངས་སུ 	རྫོགས་པའོ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་གིས་ནི  རྒྱུ  ཡོངས་སུ  རྫོགས་པའོ 
།_  ཞེས  བྱ་བ 	རྟེན 	མ་རིག 	ལྡོངས 	གྱུར་ལ 	།_ 	ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི་ལམ་གྱི 	ཡེ་ཤེས 	བསྐྱེད་པ 	བསྟན་ཏོ 	bstod tshogs ka_.txt	རྟེན  མ་རིག  ལྡོངས  གྱུར་ལ  །_  ཞེས  བྱ་བ  འདི་དག་གིས་ནི་ལམ་གྱི  ཡེ་ཤེས  བསྐྱེད་པ  བསྟན་ཏོ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི 	ཉོན་མོངས་པ 	སྤངས་པའོ 	།_། 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་གིས་ནི  ཉོན་མོངས་པ  སྤངས་པའོ  །_། 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི 	ཡོན་ཏན 	བརྙེས་པ 	བསྟན་ཏོ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་གིས་ནི  ཡོན་ཏན  བརྙེས་པ  བསྟན་ཏོ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི 	ཆོས་ཀྱི 	འཁོར་ལོ 	བསྐོར་བ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་གིས་ནི  ཆོས་ཀྱི  འཁོར་ལོ  བསྐོར་བ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི 	ཆོས་སྟོན་པ 	-འི 	རང་བཞིན 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་གིས་ནི  ཆོས་སྟོན་པ  -འི  རང་བཞིན 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི 	ཡུན་དུ 	གནས་པ 	ཡང་དག 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་དག་གིས་ནི  ཡུན་དུ  གནས་པ  ཡང་དག 
།_  ཞེས  བྱ་བ་ལ 	མི 	གཡོ 	མཉམ་ཉིད 	ཆོས་མཆོག་ཅན 	།_ 	ཞེས 	བྱ་བ་ལ 	སོགས་པ 	-འི 	བསྟོད་པ་ནི་གཙོར 	གསོལ་བ 	bstod tshogs ka_.txt	མི  གཡོ  མཉམ་ཉིད  ཆོས་མཆོག་ཅན  །_  ཞེས  བྱ་བ་ལ  སོགས་པ  -འི  བསྟོད་པ་ནི་གཙོར  གསོལ་བ 
།_།  ཞེས  བསྟོད་དོ 	དམ་ཚིག་གསུམ 	མཆོག 	གྲུབ 	བདག་སྩོལ 	།_། 	ཞེས 	བསྟོད་དོ 	།_། 	མཆོག་གི 	དངོས་གྲུབ 	གསོལ་བ 	bstod tshogs ka_.txt	དམ་ཚིག་གསུམ  མཆོག  གྲུབ  བདག་སྩོལ  །_།  ཞེས  བསྟོད་དོ  །_།  མཆོག་གི  དངོས་གྲུབ  གསོལ་བ 
།_།  ཞེས  བྱ་བ 	མི 	གཡོ 	མཉམ་ཉིད 	ཆོས་མཆོག་ཅན 	།_། 	ཞེས 	བྱ་བ 	འདི 	གསུངས་སོ 	།_། 	བརྩེ 	bstod tshogs ka_.txt	མི  གཡོ  མཉམ་ཉིད  ཆོས་མཆོག་ཅན  །_།  ཞེས  བྱ་བ  འདི  གསུངས་སོ  །_།  བརྩེ 
 ཞེས  བྱ་བ་དང 						ཞེས 	བྱ་བ་དང 	།_ 	ཡོན་ཏན 	ཀུན 	མཉམ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་དང  །_  ཡོན་ཏན  ཀུན  མཉམ 
 ཞེས  བྱ་བ 	མཐའ་མེད 	དངོས་གྲུབ་སྩོལ 	།_། 			ཞེས 	བྱ་བ 	འདི 	གསུངས་སོ 	།_། 	བརྩེ 	bstod tshogs ka_.txt	མཐའ་མེད  དངོས་གྲུབ་སྩོལ  །_།    ཞེས  བྱ་བ  འདི  གསུངས་སོ  །_།  བརྩེ 
།_།  ཞེས  བྱ་བ 	མི 	གཡོ 	མཉམ་མེད 	མཆོག་རབ་ཆོས 	།_། 	ཞེས 	བྱ་བ 	འདི 	གསུངས་ཏེ 	།_ 	འདི་ནི 	bstod tshogs ka_.txt	མི  གཡོ  མཉམ་མེད  མཆོག་རབ་ཆོས  །_།  ཞེས  བྱ་བ  འདི  གསུངས་ཏེ  །_  འདི་ནི 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	-འི 	དོན་ཏོ 	།_། 	འདིས་ནི 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  -འི  དོན་ཏོ  །_།  འདིས་ནི 
 ཞེས  བྱ 						ཞེས 	བྱ 	ཞེ་ན 	།_ 	ཤིན་ཏུ 	རྣམ་པ 	bstod tshogs ka_.txt	     ཞེས  བྱ  ཞེ་ན  །_  ཤིན་ཏུ  རྣམ་པ 
 ཞེས  བྱ་བ་ནི 						ཞེས 	བྱ་བ་ནི 	འཇིག་རྟེན་གྱིའོ 	།_། 	སྡུག 	བསྔལ་ནི 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ནི  འཇིག་རྟེན་གྱིའོ  །_།  སྡུག  བསྔལ་ནི 
 ཞེས  ཚིག 						ཞེས 	ཚིག 	རྣམ་པ 	-ར 	སྦྱར་ཏེ 	འགྲོ་བ་ལ་ཞེས 	bstod tshogs ka_.txt	     ཞེས  ཚིག  རྣམ་པ  -ར  སྦྱར་ཏེ  འགྲོ་བ་ལ་ཞེས 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	-འི 	ཐ་ཚིག་སྟེ 	།_ 	དེ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  -འི  ཐ་ཚིག་སྟེ  །_  དེ 
།_།  ཞེས  འདོན་ཏོ 	རྫོགས 	མེད་པ 	-འི 	དངོས་གྲུབ་སྩོལ 	།_། 	ཞེས 	འདོན་ཏོ 	།_། 	ཁ་ཅིག་ནི 	།_ 	ཡོན་ཏན 	bstod tshogs ka_.txt	རྫོགས  མེད་པ  -འི  དངོས་གྲུབ་སྩོལ  །_།  ཞེས  འདོན་ཏོ  །_།  ཁ་ཅིག་ནི  །_  ཡོན་ཏན 
།_།  ཞེས  འདོན་ཏོ 	ཀུན 	མཉམ 	མཉམ་མེད 	དངོས་གྲུབ་སྩོལ 	།_། 	ཞེས 	འདོན་ཏོ 	།_། 	འདི་ནི 	གཞན 	བསྒྲིམ 	bstod tshogs ka_.txt	ཀུན  མཉམ  མཉམ་མེད  དངོས་གྲུབ་སྩོལ  །_།  ཞེས  འདོན་ཏོ  །_།  འདི་ནི  གཞན  བསྒྲིམ 
 ཞེས  བྱ་བ་ལ 						ཞེས 	བྱ་བ་ལ 	སོགས་པ 	-འི 	ཚིག 	རྣམས་ནི 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ལ  སོགས་པ  -འི  ཚིག  རྣམས་ནི 
 ཞེས  བཤད་པ་ཡིན་ནོ 						ཞེས 	བཤད་པ་ཡིན་ནོ 	།_། 	ཡང་ན 	ཆོས་ཀྱི 	དབྱིངས 	bstod tshogs ka_.txt	     ཞེས  བཤད་པ་ཡིན་ནོ  །_།  ཡང་ན  ཆོས་ཀྱི  དབྱིངས 
 ཞེས  ཟེར་ཏེ 						ཞེས 	ཟེར་ཏེ 	།_ 	འདིར 	ཚིག་གི 	མདོ་ནི 	bstod tshogs ka_.txt	     ཞེས  ཟེར་ཏེ  །_  འདིར  ཚིག་གི  མདོ་ནི 
།_།  ཞེས  བྱ་བ་ལ 	དཔེ 	ཉིད 	ནམ་མཁའ་ལ 	མེད་དེ 	།_། 	ཞེས 	བྱ་བ་ལ 	སོགས་པ 	འདི 	གསུངས་སོ 	།_། 	bstod tshogs ka_.txt	དཔེ  ཉིད  ནམ་མཁའ་ལ  མེད་དེ  །_།  ཞེས  བྱ་བ་ལ  སོགས་པ  འདི  གསུངས་སོ  །_། 
།_།  ཞེས  འབྱུང་སྟེ 	མཆོག 	གྲུབ 	གསལ 	སྒྲུབ་པ 	།_། 	ཞེས 	འབྱུང་སྟེ 	།_ 	དེ་ལ 	དན་ནི 	གང་དག་ལ 	bstod tshogs ka_.txt	མཆོག  གྲུབ  གསལ  སྒྲུབ་པ  །_།  ཞེས  འབྱུང་སྟེ  །_  དེ་ལ  དན་ནི  གང་དག་ལ 
 ཞེས  བྱ་བ་ཡིན་ནོ 						ཞེས 	བྱ་བ་ཡིན་ནོ 	།_། 	ཅིའི 	ཕྱིར 	དེ་དག 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ཡིན་ནོ  །_།  ཅིའི  ཕྱིར  དེ་དག 
