 ཞེས  མི་བརྟག 						ཞེས 	མི་བརྟག 	_། 	ཇི 	ལྟར 	སྦུན་པ་ལས 	bstod tshogs ka_.txt	     ཞེས  མི་བརྟག  _།  ཇི  ལྟར  སྦུན་པ་ལས 
 ཞེས  བྱ་བ་ལ 						ཞེས 	བྱ་བ་ལ 	སོགས་པ་ལ 	།_ 	གཅིག་དང 	དུ་མ་ནི 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ལ  སོགས་པ་ལ  །_  གཅིག་དང  དུ་མ་ནི 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	-འི 	ཐ་ཚིག་གོ 	།_། 	ཅིའི 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  -འི  ཐ་ཚིག་གོ  །_།  ཅིའི 
 ཞེས  འབྱུང་བ 						ཞེས 	འབྱུང་བ 	-ས་ན་གང 	ཐོག་མ 	ཉིད་ནས 	མ 	bstod tshogs ka_.txt	     ཞེས  འབྱུང་བ  -ས་ན་གང  ཐོག་མ  ཉིད་ནས  མ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	སྨོས་ཏེ 	།_ 	བདག་དང 	གཞན་ནི 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  སྨོས་ཏེ  །_  བདག་དང  གཞན་ནི 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	-འི 	དོན་ཏོ 	།_། 	གང་གི 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  -འི  དོན་ཏོ  །_།  གང་གི 
།_།  ཞེས  གསུངས་པ་གང 	དག 	མཐོང་ན 	རྣམ་པ 	-ར་གྲོལ 	།_། 	ཞེས 	གསུངས་པ་གང 	འདི་ལྟར 	རྐྱེན་དང 	ལྡན་པ་ནི 	ཀུན་ནས 	bstod tshogs ka_.txt	དག  མཐོང་ན  རྣམ་པ  -ར་གྲོལ  །_།  ཞེས  གསུངས་པ་གང  འདི་ལྟར  རྐྱེན་དང  ལྡན་པ་ནི  ཀུན་ནས 
།_།  ཞེས  བྱ་བ 	མིན 	དངོས་པོ 	མེད 	མ་ཡིན 	།_། 	ཞེས 	བྱ་བ 	སྨོས་ཏེ 	།_ 	དངོས་པོ་ནི 	གཟུགས་སུ 	bstod tshogs ka_.txt	མིན  དངོས་པོ  མེད  མ་ཡིན  །_།  ཞེས  བྱ་བ  སྨོས་ཏེ  །_  དངོས་པོ་ནི  གཟུགས་སུ 
།_།  ཞེས  བྱ་བ་སྟེ 	མིན 	དངོས་པོ 	ཡོད་པ 	མ་ཡིན 	།_། 	ཞེས 	བྱ་བ་སྟེ 	ཡོད་པ་དང 	མེད་པ་དང 	དབུས་ལས 	འདས་པ 	bstod tshogs ka_.txt	མིན  དངོས་པོ  ཡོད་པ  མ་ཡིན  །_།  ཞེས  བྱ་བ་སྟེ  ཡོད་པ་དང  མེད་པ་དང  དབུས་ལས  འདས་པ 
 ཞེས  བྱ་བ་ནི 						ཞེས 	བྱ་བ་ནི 	ནམ་མཁའ་དང 	འདྲ་བ 	-ར 	རོ་གཅིག་ཅིང 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ནི  ནམ་མཁའ་དང  འདྲ་བ  -ར  རོ་གཅིག་ཅིང 
།_།  ཞེས  བཤད་པ 	མེད 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	ཞེས 	བཤད་པ 	-ས་སོ 	།_། 	དེ 	ལྟ་བུ 	bstod tshogs ka_.txt	མེད  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ  །_།  ཞེས  བཤད་པ  -ས་སོ  །_།  དེ  ལྟ་བུ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	-འི 	དོན་ཏོ 	།_། 	རང་གི 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  -འི  དོན་ཏོ  །_།  རང་གི 
 ཞེས  བྱ་བ་ནི 						ཞེས 	བྱ་བ་ནི 	སྦྱིན་པ་ལ 	སོགས 	པ་ཕ 	རོལ་ཏུ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ནི  སྦྱིན་པ་ལ  སོགས  པ་ཕ  རོལ་ཏུ 
 ཞེས ་བྱའོ 						ཞེས	་བྱའོ 	།_། 	སེམས 	ཅན 	མོས་པ 	bstod tshogs ka_.txt	     ཞེས ་བྱའོ  །_།  སེམས  ཅན  མོས་པ 
།_།  ཞེས  བྱ་བ་ནི 	ཀུན་དུ 	འཕྲོ་བ 	-ར 	མཛད་པ་པོ 	།_། 	ཞེས 	བྱ་བ་ནི 	ཤིན་ཏུ 	རྒྱ་ཆེ་བ 	-འི 	དམ་པ 	bstod tshogs ka_.txt	ཀུན་དུ  འཕྲོ་བ  -ར  མཛད་པ་པོ  །_།  ཞེས  བྱ་བ་ནི  ཤིན་ཏུ  རྒྱ་ཆེ་བ  -འི  དམ་པ 
 ཞེས  བྱ་བ་ནི 						ཞེས 	བྱ་བ་ནི 	ཆོས་ཀྱི་དེ 	ཁོ་ན་ཉིད་ཇི 	ལྟ་བ 	བཞིན་དུ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ནི  ཆོས་ཀྱི་དེ  ཁོ་ན་ཉིད་ཇི  ལྟ་བ  བཞིན་དུ 
 ཞེས  བྱ་བ་ནི 						ཞེས 	བྱ་བ་ནི 	རྫོགས་པ 	-ར 	ལོངས་སྤྱོད་པ 	-འི 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ནི  རྫོགས་པ  -ར  ལོངས་སྤྱོད་པ  -འི 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	སྨོས་ཏེ 	།_ 	ཆོས་ཀྱི 	སྲིད་ཀྱང་ཡིན 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  སྨོས་ཏེ  །_  ཆོས་ཀྱི  སྲིད་ཀྱང་ཡིན 
།_།  ཞེས  བྱ་བ་ལ 	མེ 	འབར 	བཞིན་དུ་གང 	སྣང་ཞིང 	།_། 	ཞེས 	བྱ་བ་ལ 	སོགས་པ 	སྨོས་ཏེ 	།_ 	སེམས 	bstod tshogs ka_.txt	མེ  འབར  བཞིན་དུ་གང  སྣང་ཞིང  །_།  ཞེས  བྱ་བ་ལ  སོགས་པ  སྨོས་ཏེ  །_  སེམས 
།_།  ཞེས ་པ་ནི 	རབ་ཏུ 	ཞི་བ 	-ར་གང 	སྣང་ལ 	།_། 	ཞེས	་པ་ནི 	གྱད་ཀྱི 	ཉེ་འཁོར 	ཤིང་སཱ་ལ 	ཟུང་གི 	bstod tshogs ka_.txt	རབ་ཏུ  ཞི་བ  -ར་གང  སྣང་ལ  །_།  ཞེས ་པ་ནི  གྱད་ཀྱི  ཉེ་འཁོར  ཤིང་སཱ་ལ  ཟུང་གི 
 ཞེས  བྱ་བ་སྟེ 						ཞེས 	བྱ་བ་སྟེ 	།_ 	སངས 	རྒྱས་དང 	།_ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་སྟེ  །_  སངས  རྒྱས་དང  །_ 
 ཞེས ་པ་སྟེ 						ཞེས	་པ་སྟེ 	།_ 	གདུལ 	བྱ 	སྣ་ཚོགས་པ 	bstod tshogs ka_.txt	     ཞེས ་པ་སྟེ  །_  གདུལ  བྱ  སྣ་ཚོགས་པ 
 ཞེས  བྱ་བ་སྟེ 						ཞེས 	བྱ་བ་སྟེ 	།_ 	འདོད་པ་དང 	གཟུགས་དང 	གཟུགས 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་སྟེ  །_  འདོད་པ་དང  གཟུགས་དང  གཟུགས 
 ཞེས  བྱ་སྟེ 						ཞེས 	བྱ་སྟེ 	།_ 	ཕྱོགས 	བཅུར 	ཆུབ་པ 	bstod tshogs ka_.txt	     ཞེས  བྱ་སྟེ  །_  ཕྱོགས  བཅུར  ཆུབ་པ 
 ཞེས  སློབ་དཔོན 						ཞེས 	སློབ་དཔོན 	ཀླུ་སྒྲུབ་ཀྱིས 	གསུངས་པ་ཡིན་ནོ 	།_། 	དེ་ནི 	bstod tshogs ka_.txt	     ཞེས  སློབ་དཔོན  ཀླུ་སྒྲུབ་ཀྱིས  གསུངས་པ་ཡིན་ནོ  །_།  དེ་ནི 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	-འི 	དོན་ཏོ 	།_། 	དེ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  -འི  དོན་ཏོ  །_།  དེ 
།_།  ཞེས  བྱ་བ 	དག་ནི 	འདི 	-ར 	སངས་རྒྱས 	།_། 	ཞེས 	བྱ་བ 	གསུངས་པ 	-ས་སོ 	།_། 	དེ 	bstod tshogs ka_.txt	དག་ནི  འདི  -ར  སངས་རྒྱས  །_།  ཞེས  བྱ་བ  གསུངས་པ  -ས་སོ  །_།  དེ 
 ཞེས  བྱ་བ་ལ 						ཞེས 	བྱ་བ་ལ 	སོགས་པ 	སྨོས་ཏེ 	།_ 	སེམས 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ལ  སོགས་པ  སྨོས་ཏེ  །_  སེམས 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	-ར 	སྦྱར་རོ 	།_། 	ཡོན་ཏན་ཇི 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  -ར  སྦྱར་རོ  །_།  ཡོན་ཏན་ཇི 
།_།  ཞེས  བྱ་བ 	ཡེ་ཤེས 	ཆེན་པོ 	དཔག་མེད་ལས 	བྱུང་བའི 	།_། 	ཞེས 	བྱ་བ 	སྨོས་ཏེ 	།_ 	བསོད 	ནམ 	bstod tshogs ka_.txt	ཡེ་ཤེས  ཆེན་པོ  དཔག་མེད་ལས  བྱུང་བའི  །_།  ཞེས  བྱ་བ  སྨོས་ཏེ  །_  བསོད  ནམ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	-འི 	སྐུ་གསུམ་པའོ 	།_། 	དེ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  -འི  སྐུ་གསུམ་པའོ  །_།  དེ 
 ཞེས  བྱ་བ་སྟེ 						ཞེས 	བྱ་བ་སྟེ 	།_ 	དམིགས་སུ 	ཡོད་པ 	-འི་ཡིད་ཀྱི 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་སྟེ  །_  དམིགས་སུ  ཡོད་པ  -འི་ཡིད་ཀྱི 
 ཞེས  བྱ་བ་ནི 						ཞེས 	བྱ་བ་ནི 	བྱང་ཆུབ་པ 	-འི 	ས་བོན་ནི 	བྱང་ཆུབ་ཀྱི 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ནི  བྱང་ཆུབ་པ  -འི  ས་བོན་ནི  བྱང་ཆུབ་ཀྱི 
