 ན  ཀུན་ལ 						ན 	ཀུན་ལ 	གདུགས 	ཞག་གཅིག 	_། 	ལན་དྲུག་ཏུ་ནི 	bstod tshogs ka_.txt	     ན  ཀུན་ལ  གདུགས  ཞག་གཅིག  _།  ལན་དྲུག་ཏུ་ནི 
 ན ་པ་པོ 						ན	་པ་པོ 	།_། 	ཕན 	དགོངས 	ཁྱོད་ལ 	bstod tshogs ka_.txt	     ན ་པ་པོ  །_།  ཕན  དགོངས  ཁྱོད་ལ 
 ན ་པ་དང་ནི 						ན	་པ་དང་ནི 	ཕྲིན་ལས་ཀྱིས 	།_། 	ཉན 	ཐོས་དང་ནི 	bstod tshogs ka_.txt	     ན ་པ་དང་ནི  ཕྲིན་ལས་ཀྱིས  །_།  ཉན  ཐོས་དང་ནི 
 ན  མཆོག 						ན 	མཆོག 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	bstod tshogs ka_.txt	     ན  མཆོག  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ  །_། 
 ན ་པོ 						ན	་པོ 	-འི 	རྣམ་པ་ཀུན 	།_། 	སྐུ་གསུམ 	bstod tshogs ka_.txt	     ན ་པོ  -འི  རྣམ་པ་ཀུན  །_།  སྐུ་གསུམ 
 ན ་དུ 						ན	་དུ 	སེམས་ཅན 	ཐམས་ཅད་ཀྱི 	།_། 	དོགས 	bstod tshogs ka_.txt	     ན ་དུ  སེམས་ཅན  ཐམས་ཅད་ཀྱི  །_།  དོགས 
 ན  མི་མངའ 						ན 	མི་མངའ 	།_། 	རྙོག་པ 	མི 	མངའ 	bstod tshogs ka_.txt	     ན  མི་མངའ  །_།  རྙོག་པ  མི  མངའ 
 ན ་ལ 						ན	་ལ 	།_། 	མ 	སྤྲོས 	ཁྱོད་ལ 	bstod tshogs ka_.txt	     ན ་ལ  །_།  མ  སྤྲོས  ཁྱོད་ལ 
 ན ས 						ན	ས 	ཡོན་ཏན 	འདི་ལ 	བདག་གིས 	རབ 	bstod tshogs ka_.txt	     ན ས  ཡོན་ཏན  འདི་ལ  བདག་གིས  རབ 
 ན ་ཏན་དྲུག 						ན	་ཏན་དྲུག 	ལྡན 	སྐུ་གསུམ་པོ་ནི 	ཡོངས་སུ 	རྫོགས་པ 	bstod tshogs ka_.txt	     ན ་ཏན་དྲུག  ལྡན  སྐུ་གསུམ་པོ་ནི  ཡོངས་སུ  རྫོགས་པ 
 ན ི 						ན	ི 	།_། 	བདག 	སོགས 	འགྲོ་བ 	bstod tshogs ka_.txt	     ན ི  །_།  བདག  སོགས  འགྲོ་བ 
 ན ས་པ 						ན	ས་པ 	-འི 	ཡོན་ཏན 	ཐུན་མོང 	མ་ཡིན་པ་ལ 	bstod tshogs ka_.txt	     ན ས་པ  -འི  ཡོན་ཏན  ཐུན་མོང  མ་ཡིན་པ་ལ 
 ན  ཐོགས་མེད་ཀྱིས 						ན 	ཐོགས་མེད་ཀྱིས 	མཛད་པ 	རྫོགས་སོ 	།།_།།_ 	རྒྱ 	bstod tshogs ka_.txt	     ན  ཐོགས་མེད་ཀྱིས  མཛད་པ  རྫོགས་སོ  །།_།།_  རྒྱ 
 ན ་པོ 						ན	་པོ 	ཛི་ན་མི་ཏྲ་དང 	།_ 	ཤཱི་ལེཎྡྲ་བོ་དྷི་དང 	།_ 	bstod tshogs ka_.txt	     ན ་པོ  ཛི་ན་མི་ཏྲ་དང  །_  ཤཱི་ལེཎྡྲ་བོ་དྷི་དང  །_ 
 ན ་གྱི 						ན	་གྱི 	ལོ་ཙཱ་བ་བནྡེ 	ཡེ་ཤེས 	སྡེ 	-ས 	bstod tshogs ka_.txt	     ན ་གྱི  ལོ་ཙཱ་བ་བནྡེ  ཡེ་ཤེས  སྡེ  -ས 
 ན ་ལ 						ན	་ལ 	ཕབ་པ 	།།_།།༄༅།_། 	ཆོས་ཀྱི 	དབྱིངས་སུ 	bstod tshogs ka_.txt	     ན ་ལ  ཕབ་པ  །།_།།༄༅།_།  ཆོས་ཀྱི  དབྱིངས་སུ 
འཇམ་དཔལ་གཞོན  ན ུར 	དབྱིངས་སུ 	བསྟོད་པ 	།_ 	འཕགས་པ 	འཇམ་དཔལ་གཞོན 	ན	ུར 	གྱུར་པ་ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	bstod tshogs ka_.txt	དབྱིངས་སུ  བསྟོད་པ  །_  འཕགས་པ  འཇམ་དཔལ་གཞོན  ན ུར  གྱུར་པ་ལ  ཕྱག  འཚལ་ལོ  །_། 
 ན  དུ་མ 						ན 	དུ་མ 	ཤེས་ན 	།_། 	སྲིད་པ་གསུམ་དུ་རྣམ 	འཁོར་བ 	bstod tshogs ka_.txt	     ན  དུ་མ  ཤེས་ན  །_།  སྲིད་པ་གསུམ་དུ་རྣམ  འཁོར་བ 
 ན  ཀུན་ལ 						ན 	ཀུན་ལ 	ངེས་གནས་པའི 	།_། 	ཆོས་ཀྱི 	དབྱིངས་ལ 	bstod tshogs ka_.txt	     ན  ཀུན་ལ  ངེས་གནས་པའི  །_།  ཆོས་ཀྱི  དབྱིངས་ལ 
 ན ་འདས 						ན	་འདས 	།_། 	ཆོས་ཀྱི 	སྐུ་ཡང 	དེ་ཉིད་དོ 	bstod tshogs ka_.txt	     ན ་འདས  །_།  ཆོས་ཀྱི  སྐུ་ཡང  དེ་ཉིད་དོ 
 ན  ཉོན་མོངས་དང 						ན 	ཉོན་མོངས་དང 	འདྲེས་པས 	།_། 	ཆོས་ཀྱི 	དབྱིངས་ཀྱང 	bstod tshogs ka_.txt	     ན  ཉོན་མོངས་དང  འདྲེས་པས  །_།  ཆོས་ཀྱི  དབྱིངས་ཀྱང 
 ན  ཉོན་མོངས་རྣམ 						ན 	ཉོན་མོངས་རྣམ 	སྦྱངས་པས 	།_། 	ཆོས 	དབྱིངས 	bstod tshogs ka_.txt	     ན  ཉོན་མོངས་རྣམ  སྦྱངས་པས  །_།  ཆོས  དབྱིངས 
 ན ་ཏུ 						ན	་ཏུ 	དྲི་མེད་འགྱུར 	།_། 	ཇི 	ལྟར 	bstod tshogs ka_.txt	     ན ་ཏུ  དྲི་མེད་འགྱུར  །_།  ཇི  ལྟར 
མར་མེ་བུམ  ན ང་གནས 					མར་མེ་བུམ 	ན	ང་གནས 	།_། 	ཅུང་ཞིག 	སྣང་བ 	-ར 	bstod tshogs ka_.txt	    མར་མེ་བུམ  ན ང་གནས  །_།  ཅུང་ཞིག  སྣང་བ  -ར 
ཉོན་མོངས་བུམ  ན ང་གནས 	འགྱུར་བ 	།_། 	དེ 	བཞིན 	ཉོན་མོངས་བུམ 	ན	ང་གནས 	།_། 	ཆོས་ཀྱི 	དབྱིངས་ཀྱང 	མི 	bstod tshogs ka_.txt	འགྱུར་བ  །_།  དེ  བཞིན  ཉོན་མོངས་བུམ  ན ང་གནས  །_།  ཆོས་ཀྱི  དབྱིངས་ཀྱང  མི 
 ན ི 						ན	ི 	གང་དང་གང 	དག་ནས 	།_། 	བུམ་པ 	bstod tshogs ka_.txt	     ན ི  གང་དང་གང  དག་ནས  །_།  བུམ་པ 
 ན ས 						ན	ས 	།_། 	འོད་ཀྱི 	རང་བཞིན 	འབྱུང་བ 	bstod tshogs ka_.txt	     ན ས  །_།  འོད་ཀྱི  རང་བཞིན  འབྱུང་བ 
 ན  རྡོ་རྗེ་ཡིས 						ན 	རྡོ་རྗེ་ཡིས 	།_། 	བུམ་པ་དེ་ནི 	བཅག 	གྱུར་པ 	bstod tshogs ka_.txt	     ན  རྡོ་རྗེ་ཡིས  །_།  བུམ་པ་དེ་ནི  བཅག  གྱུར་པ 
 ན མ་མཁའ་ཡི 	།_། 	དེ 	ཚེ་དེ་ནི 			ན	མ་མཁའ་ཡི 	།_། 	མཐར 	ཐུག 	བར་དུ 	bstod tshogs ka_.txt	།_།  དེ  ཚེ་དེ་ནི    ན མ་མཁའ་ཡི  །_།  མཐར  ཐུག  བར་དུ 
།_།  ན མ་ཡང 	ཆོས་ཀྱི 	དབྱིངས་ནི 	སྐྱེ 	མ་ཡིན 	།_། 	ན	མ་ཡང 	འགག་པ 	-ར 	འགྱུར་བ་མེད 	།_། 	bstod tshogs ka_.txt	ཆོས་ཀྱི  དབྱིངས་ནི  སྐྱེ  མ་ཡིན  །_།  ན མ་ཡང  འགག་པ  -ར  འགྱུར་བ་མེད  །_། 
 ན ་དུ 						ན	་དུ 	ཉོན་མོངས་མེད 	།_། 	ཐོག 	མ 	bstod tshogs ka_.txt	     ན ་དུ  ཉོན་མོངས་མེད  །_།  ཐོག  མ 
 ན ་ཆེན་བཻཌཱུརྱ 						ན	་ཆེན་བཻཌཱུརྱ 	།_། 	དུས 	རྣམས 	ཀུན་དུ 	bstod tshogs ka_.txt	     ན ་ཆེན་བཻཌཱུརྱ  །_།  དུས  རྣམས  ཀུན་དུ 
 ན ང་ན 	འོད་གསལ་ཡང 	_།_། 	རྡོ་ཡི 			ན	ང་ན 	གནས 	གྱུར་ན 	།_། 	དེ་ཡི 	bstod tshogs ka_.txt	འོད་གསལ་ཡང  _།_།  རྡོ་ཡི    ན ང་ན  གནས  གྱུར་ན  །_།  དེ་ཡི 
 ན ི 						ན	ི 	གསལ 	མ་ཡིན 	།_། 	དེ 	bstod tshogs ka_.txt	     ན ི  གསལ  མ་ཡིན  །_།  དེ 
 ན  ཉོན་མོངས་ཀྱིས 						ན 	ཉོན་མོངས་ཀྱིས 	བསྒྲིབས་པའི 	།_། 	ཆོས 	དབྱིངས 	bstod tshogs ka_.txt	     ན  ཉོན་མོངས་ཀྱིས  བསྒྲིབས་པའི  །_།  ཆོས  དབྱིངས 
 ན ་ཏུ 						ན	་ཏུ 	དྲི་མེད་པ 	-འང 	_།_། 	འཁོར་བ 	bstod tshogs ka_.txt	     ན ་ཏུ  དྲི་མེད་པ  -འང  _།_།  འཁོར་བ 
 ན ི 						ན	ི 	གསལ 	མ་ཡིན 	།_། 	མྱ་ངན 	bstod tshogs ka_.txt	     ན ི  གསལ  མ་ཡིན  །_།  མྱ་ངན 
ཡོད་ན  ན ི་ལ 	འདས་ན 	འོད་གསལ་འགྱུར 	།_། 	ཁམས 	ཡོད་ན 	ན	ི་ལ 	-ས 	བྱས་པས 	།_། 	ས 	bstod tshogs ka_.txt	འདས་ན  འོད་གསལ་འགྱུར  །_།  ཁམས  ཡོད་ན  ན ི་ལ  -ས  བྱས་པས  །_།  ས 
