 གི  །_། 						གི 	།_། 	ཚིག་དང 	སྤྱོད 	མཁྱེན 	འོངས་པ་དང 	bstod tshogs ka_.txt	     གི  །_།  ཚིག་དང  སྤྱོད  མཁྱེན  འོངས་པ་དང 
 གི  ཉེས་པ 						གི 	ཉེས་པ 	ཟད 	གྱུར་པ 	།_། 	གཞན 	bstod tshogs ka_.txt	     གི  ཉེས་པ  ཟད  གྱུར་པ  །_།  གཞན 
 གི ་མིན 						གི	་མིན 	།_། 	གལ་ཏེ 	སེམས་ཤིག 	ཡོད་ན་ནི 	bstod tshogs ka_.txt	     གི ་མིན  །_།  གལ་ཏེ  སེམས་ཤིག  ཡོད་ན་ནི 
 གི  ཉེས 						གི 	ཉེས 	བཅོམ་པ 	།_། 	འཚོ་བ 	རང་དོན 	bstod tshogs ka_.txt	     གི  ཉེས  བཅོམ་པ  །_།  འཚོ་བ  རང་དོན 
 གི ས་ཀྱང 						གི	ས་ཀྱང 	།_། 	ཆོས་དང 	ལྡན་པ 	-ར 	bstod tshogs ka_.txt	     གི ས་ཀྱང  །_།  ཆོས་དང  ལྡན་པ  -ར 
 གི ས 						གི	ས 	ཐོབ་ནས་ནི 	།_། 	མང་དུ 	བཅད་པ 	bstod tshogs ka_.txt	     གི ས  ཐོབ་ནས་ནི  །_།  མང་དུ  བཅད་པ 
 གི  ལྕེ 						གི 	ལྕེ 	འདི་ཉིད་ཀྱིས་གོ 	།_། 	སྙིང་པོ 	ཅི་ཕྱིར 	bstod tshogs ka_.txt	     གི  ལྕེ  འདི་ཉིད་ཀྱིས་གོ  །_།  སྙིང་པོ  ཅི་ཕྱིར 
 གི  དོན་ལ 						གི 	དོན་ལ 	གུས་པ་ཡིས 	།_། 	དེ་ཡི 	ཕྱོགས 	bstod tshogs ka_.txt	     གི  དོན་ལ  གུས་པ་ཡིས  །_།  དེ་ཡི  ཕྱོགས 
 གི  ཡོན་ཏན་གྲངས 						གི 	ཡོན་ཏན་གྲངས 	དག་དང 	།_། 	མཐུ་ལ 	ཐུག་པ 	bstod tshogs ka_.txt	     གི  ཡོན་ཏན་གྲངས  དག་དང  །_།  མཐུ་ལ  ཐུག་པ 
 གི  བདེ་བ 						གི 	བདེ་བ 	-ས 	གཞན་དབང་ཕྱིར 	།_། 	དེ 	bstod tshogs ka_.txt	     གི  བདེ་བ  -ས  གཞན་དབང་ཕྱིར  །_།  དེ 
 གི ་བདེ 						གི	་བདེ 	ཕྱིར 	རབ་ཏུ་འཇུག 	_། 	ཁྱོད་ནི 	bstod tshogs ka_.txt	     གི ་བདེ  ཕྱིར  རབ་ཏུ་འཇུག  _།  ཁྱོད་ནི 
 གི ས 						གི	ས 	།_། 	ལུས 	ཅན 	གཤེད་མ 	bstod tshogs ka_.txt	     གི ས  །_།  ལུས  ཅན  གཤེད་མ 
 གི ས 						གི	ས 	།_། 	ཁྱོད་ཀྱིས 	ཚུལ་ཁྲིམས 	གོམས་པ 	bstod tshogs ka_.txt	     གི ས  །_།  ཁྱོད་ཀྱིས  ཚུལ་ཁྲིམས  གོམས་པ 
 གི ས 						གི	ས 	མཆོད 	བྱ་ཡང 	།_། 	མ 	bstod tshogs ka_.txt	     གི ས  མཆོད  བྱ་ཡང  །_།  མ 
 གི ་དེ་ནི 						གི	་དེ་ནི 	ངོ་མཚར་དགོངས 	།_། 	ཁྱོད་ནི 	ལན་འགའ 	bstod tshogs ka_.txt	     གི ་དེ་ནི  ངོ་མཚར་དགོངས  །_།  ཁྱོད་ནི  ལན་འགའ 
 གི  ཤེས་རབ་ཀྱིས་ནི་བསལ 						གི 	ཤེས་རབ་ཀྱིས་ནི་བསལ 	།_། 	ཐུགས་ནི 	ཐུགས་རྗེ 	ཆེན་པོ་དང 	bstod tshogs ka_.txt	     གི  ཤེས་རབ་ཀྱིས་ནི་བསལ  །_།  ཐུགས་ནི  ཐུགས་རྗེ  ཆེན་པོ་དང 
 གི ས 						གི	ས 	།_། 	ཚིགས་སུ 	བཅད་པ 	-འི 	bstod tshogs ka_.txt	     གི ས  །_།  ཚིགས་སུ  བཅད་པ  -འི 
 གི ས 						གི	ས 	མཇལ་བ་ན 	།_། 	སྐྱེ་བ་དེ་དང 	དེ་དག་ཏུ 	bstod tshogs ka_.txt	     གི ས  མཇལ་བ་ན  །_།  སྐྱེ་བ་དེ་དང  དེ་དག་ཏུ 
 གི  རྒྱུད་ལ་དེ 						གི 	རྒྱུད་ལ་དེ 	།_། 	བག 	ཆགས 	ལྷག་མ 	bstod tshogs ka_.txt	     གི  རྒྱུད་ལ་དེ  །_།  བག  ཆགས  ལྷག་མ 
 གི  ཡོན་ཏན 						གི 	ཡོན་ཏན 	དམན་པ 	-འི་ཕྱིར 	།_། 	གཞན 	bstod tshogs ka_.txt	     གི  ཡོན་ཏན  དམན་པ  -འི་ཕྱིར  །_།  གཞན 
 གི ས 						གི	ས 	སྐྱོན་མིན 	།_། 	ཁྱོད་ཀྱི 	བཀའ་ནི 	bstod tshogs ka_.txt	     གི ས  སྐྱོན་མིན  །_།  ཁྱོད་ཀྱི  བཀའ་ནི 
 གི ས་ནི 						གི	ས་ནི 	མཇལ་བ 	-ར་ནུས 	།_། 	ཆོས 	bstod tshogs ka_.txt	     གི ས་ནི  མཇལ་བ  -ར་ནུས  །_།  ཆོས 
 གི ་ནི 						གི	་ནི 	དབྱེ་བ 	-ར་བརྗོད 	།_། 	ཐུབ་པ 	bstod tshogs ka_.txt	     གི ་ནི  དབྱེ་བ  -ར་བརྗོད  །_།  ཐུབ་པ 
 གི  ཆོས་ཉིད 						གི 	ཆོས་ཉིད 	རྗེས 	བསམས་ནས 	།_། 	ཆེན་པོ 	bstod tshogs ka_.txt	     གི  ཆོས་ཉིད  རྗེས  བསམས་ནས  །_།  ཆེན་པོ 
 གི ས 						གི	ས 	རྒྱལ་བ 	-ར 	བྱ་བ 	-འི་རིགས 	bstod tshogs ka_.txt	     གི ས  རྒྱལ་བ  -ར  བྱ་བ  -འི་རིགས 
 གི  དེ་ལྟར 						གི 	དེ་ལྟར 	བསམ 	མིན་ཡང 	།_། 	ལྷག 	bstod tshogs ka_.txt	     གི  དེ་ལྟར  བསམ  མིན་ཡང  །_།  ལྷག 
 གི  _། 						གི 	_། 	མྱ་ངན 	དགའ 	སོགས 	གནས་སྐབས་ནི 	bstod tshogs ka_.txt	     གི  _།  མྱ་ངན  དགའ  སོགས  གནས་སྐབས་ནི 
 གི ས 						གི	ས 	ཁྱོད་ཀྱི 	སྐུ 	མཐོང་བས 	།_། 	bstod tshogs ka_.txt	     གི ས  ཁྱོད་ཀྱི  སྐུ  མཐོང་བས  །_། 
 གི ས་ནི 						གི	ས་ནི 	།_། 	ལན 	བརྒྱ 	མཐོང་དང 	bstod tshogs ka_.txt	     གི ས་ནི  །_།  ལན  བརྒྱ  མཐོང་དང 
 གི ས 						གི	ས 	།_། 	དང་པོ 	-ར 	མཐོང་བ་དེ་གཉིས་ཀ 	bstod tshogs ka_.txt	     གི ས  །_།  དང་པོ  -ར  མཐོང་བ་དེ་གཉིས་ཀ 
 གི  འབད་པ 						གི 	འབད་པ 	མེད་པ 	-ར་འཕྲུལ 	།_། 	རྟེན་གྱི 	bstod tshogs ka_.txt	     གི  འབད་པ  མེད་པ  -ར་འཕྲུལ  །_།  རྟེན་གྱི 
 གི ་ནི 						གི	་ནི 	སྡུག་བསྔལ་ཡང 	།_། 	འགྲོ་བ 	འདི་དག 	bstod tshogs ka_.txt	     གི ་ནི  སྡུག་བསྔལ་ཡང  །_།  འགྲོ་བ  འདི་དག 
 གི ས 						གི	ས 	འཁོར་བ 	-ར་ཁྱོད 	།_། 	སྐྱོན 	bstod tshogs ka_.txt	     གི ས  འཁོར་བ  -ར་ཁྱོད  །_།  སྐྱོན 
 གི ་མཐར 						གི	་མཐར 	།_། 	གདུལ 	བ 	-འི 	bstod tshogs ka_.txt	     གི ་མཐར  །_།  གདུལ  བ  -འི 
 གི  _། 						གི 	_། 	ཉིད་ཀྱི 	དོན་ལ 	བརྩེ 	མེད་པས 	bstod tshogs ka_.txt	     གི  _།  ཉིད་ཀྱི  དོན་ལ  བརྩེ  མེད་པས 
 གི  སྨྲ་བ 						གི 	སྨྲ་བ 	-ར 	བྱེད་པ 	-ར་ནུས 	།_། 	bstod tshogs ka_.txt	     གི  སྨྲ་བ  -ར  བྱེད་པ  -ར་ནུས  །_། 
བདག  གི  -ར 	བསྟན་པ་ཡིས 	།_། 	དེ 	བཞིན་ལས 	བདག 	གི 	-ར 	བྱ་བ 	།_། 	བདག 	མེད་པ་གང 	bstod tshogs ka_.txt	བསྟན་པ་ཡིས  །_།  དེ  བཞིན་ལས  བདག  གི  -ར  བྱ་བ  །_།  བདག  མེད་པ་གང 
 གི ས 						གི	ས 	ཤེས་རབ་ནི 	།_། 	སྒོམ་པ 	-འི 	bstod tshogs ka_.txt	     གི ས  ཤེས་རབ་ནི  །_།  སྒོམ་པ  -འི 
 གི ས 						གི	ས 	བསྟོད་པ 	-ར 	ནུས 	མ་ཡིན 	bstod tshogs ka_.txt	     གི ས  བསྟོད་པ  -ར  ནུས  མ་ཡིན 
 གི ས 						གི	ས 	ཁྱོད་ཀྱང 	འདོད་ཆུང་བའི 	།_། 	རབ་ཏུ 	bstod tshogs ka_.txt	     གི ས  ཁྱོད་ཀྱང  འདོད་ཆུང་བའི  །_།  རབ་ཏུ 
 གི ས 						གི	ས 	།_། 	དམྱལ་བ་ཡི་ཡང་ལས 	རྣམས་ལའང 	།_། 	bstod tshogs ka_.txt	     གི ས  །_།  དམྱལ་བ་ཡི་ཡང་ལས  རྣམས་ལའང  །_། 
 གི ས་ནི 						གི	ས་ནི 	འཚེ་བ 	-ར་འགྱུར 	།_། 	འཆི 	bstod tshogs ka_.txt	     གི ས་ནི  འཚེ་བ  -ར་འགྱུར  །_།  འཆི 
 གི  དོན་ནི 						གི 	དོན་ནི 	བསམས་པ་དང 	།_། 	བསྒོམས་དང 	གུས་པ 	bstod tshogs ka_.txt	     གི  དོན་ནི  བསམས་པ་དང  །_།  བསྒོམས་དང  གུས་པ 
 གི ས 						གི	ས 	ཁྱོད 	མཐོང 	ཙམ་གྱིས 	།_། 	bstod tshogs ka_.txt	     གི ས  ཁྱོད  མཐོང  ཙམ་གྱིས  །_། 
 གི ་ནི 						གི	་ནི 	སྡུག་བསྔལ་ཡང 	།_། 	ཉེ 	བར 	bstod tshogs ka_.txt	     གི ་ནི  སྡུག་བསྔལ་ཡང  །_།  ཉེ  བར 
 གི  ཆོག་ཤེས 						གི 	ཆོག་ཤེས 	སྤངས་པ 	-འི་ཕྱིར 	།_། 	ཁྱོད་ནི 	bstod tshogs ka_.txt	     གི  ཆོག་ཤེས  སྤངས་པ  -འི་ཕྱིར  །_།  ཁྱོད་ནི 
 གི ས་ནི 						གི	ས་ནི 	།_། 	ལུས 	ཙམ་ལ་ནི 	ཕན 	bstod tshogs ka_.txt	     གི ས་ནི  །_།  ལུས  ཙམ་ལ་ནི  ཕན 
 གི  དོན་ལ 						གི 	དོན་ལ 	མི 	ལྟ་བས 	།_། 	ཉིད་ཀྱི 	bstod tshogs ka_.txt	     གི  དོན་ལ  མི  ལྟ་བས  །_།  ཉིད་ཀྱི 
 གི  བདུད་རྩི་ཡིས 						གི 	བདུད་རྩི་ཡིས 	།_། 	གཞན 	རྣམས་ལ་ནི 	ཕན་པ་མཛད 	bstod tshogs ka_.txt	     གི  བདུད་རྩི་ཡིས  །_།  གཞན  རྣམས་ལ་ནི  ཕན་པ་མཛད 
 གི ས 						གི	ས 	གདུངས་དང 	།_། 	དེ 	བཞིན 	bstod tshogs ka_.txt	     གི ས  གདུངས་དང  །_།  དེ  བཞིན 
 གི ས 						གི	ས 	།_། 	ཁྱོད་ནི 	ཕྱག 	འཚལ 	bstod tshogs ka_.txt	     གི ས  །_།  ཁྱོད་ནི  ཕྱག  འཚལ 
 གི ས་ནི 						གི	ས་ནི 	འཕེལ 	མཛད་པ 	།_། 	སྨན་པ 	bstod tshogs ka_.txt	     གི ས་ནི  འཕེལ  མཛད་པ  །_།  སྨན་པ 
 གི ས 						གི	ས 	ལུས 	ཙམ་ནི 	།_། 	ཤིན་ཏུ 	bstod tshogs ka_.txt	     གི ས  ལུས  ཙམ་ནི  །_།  ཤིན་ཏུ 
 གི ས 						གི	ས 	།_། 	སེམས་ལ 	སྤྲོ་བ 	བསྐྱེད་ནས་ནི 	bstod tshogs ka_.txt	     གི ས  །_།  སེམས་ལ  སྤྲོ་བ  བསྐྱེད་ནས་ནི 
 གི ས 						གི	ས 	སེམས་ནི 	འགུག 	མི་འགྱུར 	།_། 	bstod tshogs ka_.txt	     གི ས  སེམས་ནི  འགུག  མི་འགྱུར  །_། 
 གི ས་སོ་སོ 						གི	ས་སོ་སོ 	-འི 	སྐད 	བཞིན་དུ 	།_། 	bstod tshogs ka_.txt	     གི ས་སོ་སོ  -འི  སྐད  བཞིན་དུ  །_། 
 གི ས 						གི	ས 	།_། 	ཁྱོད་ཀྱིས 	འགྲོ་བ 	-འི 	bstod tshogs ka_.txt	     གི ས  །_།  ཁྱོད་ཀྱིས  འགྲོ་བ  -འི 
 གི  ཁྱོད 						གི 	ཁྱོད 	དྲིན་ལན 	ལོན་པའི 	།_། 	སྒྲུབ་དེ 	bstod tshogs ka_.txt	     གི  ཁྱོད  དྲིན་ལན  ལོན་པའི  །_།  སྒྲུབ་དེ 
 གི ས་ཀྱང 						གི	ས་ཀྱང 	ལན 	མ་ལོན 	།_། 	རང 	bstod tshogs ka_.txt	     གི ས་ཀྱང  ལན  མ་ལོན  །_།  རང 
 གི ས 						གི	ས 	རྨད་བྱུང་གསུངས 	།_། 	ཐོག 	མར 	bstod tshogs ka_.txt	     གི ས  རྨད་བྱུང་གསུངས  །_།  ཐོག  མར 
 གི  ཞོ་ཤ 						གི 	ཞོ་ཤ 	བས 	འཚལ་བས 	།_། 	དེས་ན 	bstod tshogs ka_.txt	     གི  ཞོ་ཤ  བས  འཚལ་བས  །_།  དེས་ན 
 གི  ངོ་བོ་ཉིད 						གི 	ངོ་བོ་ཉིད 	།_། 	ཚད 	མ 	མཆིས་ལ 	bstod tshogs ka_.txt	     གི  ངོ་བོ་ཉིད  །_།  ཚད  མ  མཆིས་ལ 
 གི ས 						གི	ས 	ཐུབ་ལ 	དད་པ 	-ས་སྤོབས 	སྐྱེས་པའི 	bstod tshogs ka_.txt	     གི ས  ཐུབ་ལ  དད་པ  -ས་སྤོབས  སྐྱེས་པའི 
 གི  ཞལ་སྔ་ནས 						གི 	ཞལ་སྔ་ནས 	མཛད་པ 	རྫོགས་སོ 	།།_།། 	རྒྱ 	bstod tshogs ka_.txt	     གི  ཞལ་སྔ་ནས  མཛད་པ  རྫོགས་སོ  །།_།།  རྒྱ 
 གི ས 						གི	ས 	།_། 	བྱང 	ཆུབ 	སེམས་ནི 	bstod tshogs ka_.txt	     གི ས  །_།  བྱང  ཆུབ  སེམས་ནི 
 གི ས་ནི 						གི	ས་ནི 	སྦྱིན་པ 	-འི 	ཕ་རོལ་ཏུ 	ཕྱིན་པ 	bstod tshogs ka_.txt	     གི ས་ནི  སྦྱིན་པ  -འི  ཕ་རོལ་ཏུ  ཕྱིན་པ 
 གི ས་ནི 						གི	ས་ནི 	ཚུལ་ཁྲིམས་ཀྱི 	ཕ་རོལ་ཏུ 	ཕྱིན་པ 	བསྟན་ཏོ 	bstod tshogs ka_.txt	     གི ས་ནི  ཚུལ་ཁྲིམས་ཀྱི  ཕ་རོལ་ཏུ  ཕྱིན་པ  བསྟན་ཏོ 
 གི ས་ནི 						གི	ས་ནི 	མི་མཐུན་པ 	-འི 	ཕྱོགས 	སྤངས་པ 	bstod tshogs ka_.txt	     གི ས་ནི  མི་མཐུན་པ  -འི  ཕྱོགས  སྤངས་པ 
 གི ས་ནི 						གི	ས་ནི 	བརྩོན་འགྲུས་ཀྱི 	ཕ་རོལ་ཏུ 	ཕྱིན་པ 	བསྟན་ཏོ 	bstod tshogs ka_.txt	     གི ས་ནི  བརྩོན་འགྲུས་ཀྱི  ཕ་རོལ་ཏུ  ཕྱིན་པ  བསྟན་ཏོ 
 གི ས་ནི 						གི	ས་ནི 	མི་མཐུན་པ 	-འི 	ཕྱོགས 	སྤངས་པ 	bstod tshogs ka_.txt	     གི ས་ནི  མི་མཐུན་པ  -འི  ཕྱོགས  སྤངས་པ 
 གི ས་ནི 						གི	ས་ནི 	མི་མཐུན་པ 	-འི 	ཕྱོགས 	སྤངས་པ 	bstod tshogs ka_.txt	     གི ས་ནི  མི་མཐུན་པ  -འི  ཕྱོགས  སྤངས་པ 
 གི ས་ནི 						གི	ས་ནི 	ཕུན 	སུམ 	ཚོགས་པ 	རྫོགས་པ 	bstod tshogs ka_.txt	     གི ས་ནི  ཕུན  སུམ  ཚོགས་པ  རྫོགས་པ 
 གི ས་ནི 						གི	ས་ནི 	སྟོབས་ཀྱི 	ཕ་རོལ་ཏུ 	ཕྱིན་པ 	བསྟན་ཏོ 	bstod tshogs ka_.txt	     གི ས་ནི  སྟོབས་ཀྱི  ཕ་རོལ་ཏུ  ཕྱིན་པ  བསྟན་ཏོ 
 གི ས 						གི	ས 	སྨ 	-ས 	ཚེ་ཞེས 	བྱ་བ 	bstod tshogs ka_.txt	     གི ས  སྨ  -ས  ཚེ་ཞེས  བྱ་བ 
 གི ས་ནི 						གི	ས་ནི 	ཡེ་ཤེས་ཀྱི 	ཕ་རོལ་ཏུ 	ཕྱིན་པ 	བསྟན་ཏོ 	bstod tshogs ka_.txt	     གི ས་ནི  ཡེ་ཤེས་ཀྱི  ཕ་རོལ་ཏུ  ཕྱིན་པ  བསྟན་ཏོ 
 གི ས་ནི 						གི	ས་ནི 	བསམ་པ 	ཕུན 	སུམ 	ཚོགས་པ 	bstod tshogs ka_.txt	     གི ས་ནི  བསམ་པ  ཕུན  སུམ  ཚོགས་པ 
 གི ས་ནི 						གི	ས་ནི 	སྦྱོར་བ 	ཕུན 	སུམ 	ཚོགས་པའོ 	bstod tshogs ka_.txt	     གི ས་ནི  སྦྱོར་བ  ཕུན  སུམ  ཚོགས་པའོ 
 གི ས་ནི 						གི	ས་ནི 	ལེན་པ་པོ 	ཕུན 	སུམ 	ཚོགས་པའོ 	bstod tshogs ka_.txt	     གི ས་ནི  ལེན་པ་པོ  ཕུན  སུམ  ཚོགས་པའོ 
 གི ས་ནི 						གི	ས་ནི 	སྦྱིན་པ 	-ར 	བྱ་བ 	ཕུན 	bstod tshogs ka_.txt	     གི ས་ནི  སྦྱིན་པ  -ར  བྱ་བ  ཕུན 
 གི ས་ནི 						གི	ས་ནི 	རང་བཞིན 	ཡོངས་སུ 	དག་པ 	-འི 	bstod tshogs ka_.txt	     གི ས་ནི  རང་བཞིན  ཡོངས་སུ  དག་པ  -འི 
 གི ས་ནི 						གི	ས་ནི 	རྣམ་པ 	-ར 	རྟོག་པ་དང 	བྲལ་བ 	bstod tshogs ka_.txt	     གི ས་ནི  རྣམ་པ  -ར  རྟོག་པ་དང  བྲལ་བ 
 གི ས་ནི 						གི	ས་ནི 	ཐབས་ཀྱིས 	རྒྱས་པ 	-འི 	བརྩོན་འགྲུས་ཀྱི 	bstod tshogs ka_.txt	     གི ས་ནི  ཐབས་ཀྱིས  རྒྱས་པ  -འི  བརྩོན་འགྲུས་ཀྱི 
 གི ས་ནི 						གི	ས་ནི 	སྐྱེ་བ 	-ས 	སྟོང་པ 	-འི 	bstod tshogs ka_.txt	     གི ས་ནི  སྐྱེ་བ  -ས  སྟོང་པ  -འི 
 གི ས་ནི 						གི	ས་ནི 	ཐབས 	དང་བཅས་པ 	-འི 	བརྩོན་པ 	bstod tshogs ka_.txt	     གི ས་ནི  ཐབས  དང་བཅས་པ  -འི  བརྩོན་པ 
 གི ས 						གི	ས 	ས 	ཐོབ་པ 	རྣམས་ཀྱི 	ཕ་རོལ་ཏུ 	bstod tshogs ka_.txt	     གི ས  ས  ཐོབ་པ  རྣམས་ཀྱི  ཕ་རོལ་ཏུ 
 གི ས་ནི 						གི	ས་ནི 	ཉོན་མོངས་པ་ལ 	མངའ་དབང 	མཛད་པ 	བསྟན་ཏོ 	bstod tshogs ka_.txt	     གི ས་ནི  ཉོན་མོངས་པ་ལ  མངའ་དབང  མཛད་པ  བསྟན་ཏོ 
 གི ས་ནི 						གི	ས་ནི 	དེ 	-འི 	དགོས་པའོ 	།_། 	bstod tshogs ka_.txt	     གི ས་ནི  དེ  -འི  དགོས་པའོ  །_། 
 གི ས་ནི 						གི	ས་ནི 	སྐྱེ་བ་ལ 	མངའ་དབང 	མཛད་པའོ 	།_། 	bstod tshogs ka_.txt	     གི ས་ནི  སྐྱེ་བ་ལ  མངའ་དབང  མཛད་པའོ  །_། 
 གི ས་ནི 						གི	ས་ནི 	དེ 	-འི 	དགོས་པའོ 	།_། 	bstod tshogs ka_.txt	     གི ས་ནི  དེ  -འི  དགོས་པའོ  །_། 
 གི ས 						གི	ས 	ནི་ལ 	-ས་ལ 	མངའ་དབང 	མཛད་པའོ 	bstod tshogs ka_.txt	     གི ས  ནི་ལ  -ས་ལ  མངའ་དབང  མཛད་པའོ 
 གི ས་ནི 						གི	ས་ནི 	དེ 	-འི 	དགོས་པའོ 	།_། 	bstod tshogs ka_.txt	     གི ས་ནི  དེ  -འི  དགོས་པའོ  །_། 
 གི ས་ནི 						གི	ས་ནི 	ཐབས་ལ 	མངའ་དབང 	མཛད་པའོ 	།_། 	bstod tshogs ka_.txt	     གི ས་ནི  ཐབས་ལ  མངའ་དབང  མཛད་པའོ  །_། 
 གི ས་ནི 						གི	ས་ནི 	དེ 	-འི 	དགོས་པའོ 	།_། 	bstod tshogs ka_.txt	     གི ས་ནི  དེ  -འི  དགོས་པའོ  །_། 
 གི ས་ནི 						གི	ས་ནི 	སེམས་ཅན 	ཡོངས་སུ 	སྨིན་པ 	-ར 	bstod tshogs ka_.txt	     གི ས་ནི  སེམས་ཅན  ཡོངས་སུ  སྨིན་པ  -ར 
 གི ས་ནི 						གི	ས་ནི 	དེ 	-འི 	དགོས་པའོ 	།_། 	bstod tshogs ka_.txt	     གི ས་ནི  དེ  -འི  དགོས་པའོ  །_། 
 གི ས་ནི 						གི	ས་ནི 	རྒྱུ 	ཡོངས་སུ 	རྫོགས་པའོ 	།_། 	bstod tshogs ka_.txt	     གི ས་ནི  རྒྱུ  ཡོངས་སུ  རྫོགས་པའོ  །_། 
 གི ས་ནི་ལམ་གྱི 						གི	ས་ནི་ལམ་གྱི 	ཡེ་ཤེས 	བསྐྱེད་པ 	བསྟན་ཏོ 	།_། 	bstod tshogs ka_.txt	     གི ས་ནི་ལམ་གྱི  ཡེ་ཤེས  བསྐྱེད་པ  བསྟན་ཏོ  །_། 
 གི ས་ནི 						གི	ས་ནི 	ཉོན་མོངས་པ 	སྤངས་པའོ 	།_། 	ལྷན་ཅིག 	bstod tshogs ka_.txt	     གི ས་ནི  ཉོན་མོངས་པ  སྤངས་པའོ  །_།  ལྷན་ཅིག 
 གི ས་ནི 						གི	ས་ནི 	ཡོན་ཏན 	བརྙེས་པ 	བསྟན་ཏོ 	།_། 	bstod tshogs ka_.txt	     གི ས་ནི  ཡོན་ཏན  བརྙེས་པ  བསྟན་ཏོ  །_། 
 གི ས་ནི 						གི	ས་ནི 	ཆོས་ཀྱི 	འཁོར་ལོ 	བསྐོར་བ 	ཡང་དག 	bstod tshogs ka_.txt	     གི ས་ནི  ཆོས་ཀྱི  འཁོར་ལོ  བསྐོར་བ  ཡང་དག 
 གི ས་ནི 						གི	ས་ནི 	ཆོས་སྟོན་པ 	-འི 	རང་བཞིན 	བསྟན་ཏོ 	bstod tshogs ka_.txt	     གི ས་ནི  ཆོས་སྟོན་པ  -འི  རང་བཞིན  བསྟན་ཏོ 
 གི ས་ནི 						གི	ས་ནི 	ཡུན་དུ 	གནས་པ 	ཡང་དག 	པར 	bstod tshogs ka_.txt	     གི ས་ནི  ཡུན་དུ  གནས་པ  ཡང་དག  པར 
 གི ས་དྲུག 						གི	ས་དྲུག 	རྣམས་སྟོན 	།_། 	གཉིས་ཀྱིས 	གཅིག་ཡིན་གསུམ་གྱིས་གཞན 	bstod tshogs ka_.txt	     གི ས་དྲུག  རྣམས་སྟོན  །_།  གཉིས་ཀྱིས  གཅིག་ཡིན་གསུམ་གྱིས་གཞན 
 གི ས་བསྒྱུར 						གི	ས་བསྒྱུར 	།_ 	ཞུ་ཆེན་གྱི 	ལོ་ཙཱ་བ་བནྡེ 	དཔལ 	bstod tshogs ka_.txt	     གི ས་བསྒྱུར  །_  ཞུ་ཆེན་གྱི  ལོ་ཙཱ་བ་བནྡེ  དཔལ 
 གི ས 						གི	ས 	མཉམ 	དགར 	བྱང་ཆུབ 	དམ་པ 	bstod tshogs ka_.txt	     གི ས  མཉམ  དགར  བྱང་ཆུབ  དམ་པ 
 གི ས་ཝཱ་རཱ་ཎ་སཱིར 						གི	ས་ཝཱ་རཱ་ཎ་སཱིར 	ཆོས་ཀྱི 	འཁོར་ལོ་བསྐོར 	།_། 	སཱ 	bstod tshogs ka_.txt	     གི ས་ཝཱ་རཱ་ཎ་སཱིར  ཆོས་ཀྱི  འཁོར་ལོ་བསྐོར  །_།  སཱ 
 གི ས 						གི	ས 	བསྒྲིབས 	མིག་ཅན 	འཇིག་རྟེན་སྤྱན 	།_། 	bstod tshogs ka_.txt	     གི ས  བསྒྲིབས  མིག་ཅན  འཇིག་རྟེན་སྤྱན  །_། 
 གི ས 						གི	ས 	ཟད་མཐའ 	-ར་གྱུར 	།_། 	དག་པ 	bstod tshogs ka_.txt	     གི ས  ཟད་མཐའ  -ར་གྱུར  །_།  དག་པ 
 གི ་པདྨ 						གི	་པདྨ 	ཁ 	འབྱེད་ཅིང 	།_། 	ལྟ་བ་དྲུག 	bstod tshogs ka_.txt	     གི ་པདྨ  ཁ  འབྱེད་ཅིང  །_།  ལྟ་བ་དྲུག 
 གི ས 						གི	ས 	གནས་མཆོག 	དམ་པ 	ཐོབ 	གྱུར་ནས 	bstod tshogs ka_.txt	     གི ས  གནས་མཆོག  དམ་པ  ཐོབ  གྱུར་ནས 
 གི ས 						གི	ས 	འདོད་པ 	-འི 	འབྲས་ལྡན 	འཇུག་པ 	bstod tshogs ka_.txt	     གི ས  འདོད་པ  -འི  འབྲས་ལྡན  འཇུག་པ 
 གི  དངོས་གྲུབ 						གི 	དངོས་གྲུབ 	གསོལ་བ 	གདབ་པ 	-ར 	འོས་པ 	bstod tshogs ka_.txt	     གི  དངོས་གྲུབ  གསོལ་བ  གདབ་པ  -ར  འོས་པ 
 གི  རྒྱུད 						གི 	རྒྱུད 	ཁོ་ན་ལ 	གསལ་བ 	-འི 	ཕྱིར་ཏེ 	bstod tshogs ka_.txt	     གི  རྒྱུད  ཁོ་ན་ལ  གསལ་བ  -འི  ཕྱིར་ཏེ 
 གི ་དེ་ནི 						གི	་དེ་ནི 	བསྐལ་བ་གྲངས 	མེད་པ 	མི 	ཉུང་བ 	bstod tshogs ka_.txt	     གི ་དེ་ནི  བསྐལ་བ་གྲངས  མེད་པ  མི  ཉུང་བ 
 གི ས 						གི	ས 	བསྟན་པ 	-འི 	བསྒོམས་པ 	-ས 	bstod tshogs ka_.txt	     གི ས  བསྟན་པ  -འི  བསྒོམས་པ  -ས 
 གི ས 						གི	ས 	བསྟན་པ་ལ 	ནན་ཏན 	བྱས་པ 	-ས 	bstod tshogs ka_.txt	     གི ས  བསྟན་པ་ལ  ནན་ཏན  བྱས་པ  -ས 
 གི  མདོ་ནི 						གི 	མདོ་ནི 	དེ་ལྟ 	བུ 	-འི 	བདེ་བ 	bstod tshogs ka_.txt	     གི  མདོ་ནི  དེ་ལྟ  བུ  -འི  བདེ་བ 
