སྐུ  སྟེ  །_ 	རྫོགས་པ 	-ར 	ལོངས་སྤྱོད་པ 	-འི 	སྐུ 	སྟེ 	།_ 	ས 	བཅུ 	-འི 	དབང་ཕྱུག་གི 	bstod tshogs ka_.txt	རྫོགས་པ  -ར  ལོངས་སྤྱོད་པ  -འི  སྐུ  སྟེ  །_  ས  བཅུ  -འི  དབང་ཕྱུག་གི 
 སྟེ  ཁམས་གསུམ་པ 						སྟེ 	ཁམས་གསུམ་པ 	ཐམས་ཅད་ཀྱི 	བདག་པོའོ 	།_། 	དེ་ལ 	bstod tshogs ka_.txt	     སྟེ  ཁམས་གསུམ་པ  ཐམས་ཅད་ཀྱི  བདག་པོའོ  །_།  དེ་ལ 
 སྟེ  །_ 						སྟེ 	།_ 	བྱང 	ཆུབ་པ 	ཉིད་དུའོ 	།_། 	bstod tshogs ka_.txt	     སྟེ  །_  བྱང  ཆུབ་པ  ཉིད་དུའོ  །_། 
 སྟེ  །_ 						སྟེ 	།_ 	སངས 	རྒྱས་དང 	།_ 	རང 	bstod tshogs ka_.txt	     སྟེ  །_  སངས  རྒྱས་དང  །_  རང 
 སྟེ  །_ 						སྟེ 	།_ 	གདུལ 	བྱ 	སྣ་ཚོགས་པ 	རྣམ་པ 	bstod tshogs ka_.txt	     སྟེ  །_  གདུལ  བྱ  སྣ་ཚོགས་པ  རྣམ་པ 
 སྟེ  །_ 						སྟེ 	།_ 	འདོད་པ་དང 	གཟུགས་དང 	གཟུགས 	མེད་པ་སྟེ 	bstod tshogs ka_.txt	     སྟེ  །_  འདོད་པ་དང  གཟུགས་དང  གཟུགས  མེད་པ་སྟེ 
 སྟེ  །_ 						སྟེ 	།_ 	ཕྱོགས 	བཅུར 	ཆུབ་པ 	-ར 	bstod tshogs ka_.txt	     སྟེ  །_  ཕྱོགས  བཅུར  ཆུབ་པ  -ར 
 སྟེ  སངས་རྒྱས 						སྟེ 	སངས་རྒྱས 	བཅོམ་ལྡན 	འདས་སོ 	།_། 	དོན་ཆེན་ནི 	bstod tshogs ka_.txt	     སྟེ  སངས་རྒྱས  བཅོམ་ལྡན  འདས་སོ  །_།  དོན་ཆེན་ནི 
 སྟེ  །_ 						སྟེ 	།_ 	དེ 	ལྟ་བུ 	-འི 	སྤྲུལ་པ 	bstod tshogs ka_.txt	     སྟེ  །_  དེ  ལྟ་བུ  -འི  སྤྲུལ་པ 
-འི  སྟེ ང་དུ 	།_ 	རི 	རབ 	ཆེན་པོ 	-འི 	སྟེ	ང་དུ 	རྡོ་རྗེ 	ནོར་བུ 	རིན་པོ་ཆེ 	-འི 	bstod tshogs ka_.txt	།_  རི  རབ  ཆེན་པོ  -འི  སྟེ ང་དུ  རྡོ་རྗེ  ནོར་བུ  རིན་པོ་ཆེ  -འི 
