 གྱི  ཉོན་མོངས་ཀུན 						གྱི 	ཉོན་མོངས་ཀུན 	།_། 	མ 	ལུས་པ 	དག 	bstod tshogs ka_.txt	     གྱི  ཉོན་མོངས་ཀུན  །_།  མ  ལུས་པ  དག 
 གྱི  །_། 						གྱི 	།_། 	སྟན་ལ་དེ་ནི 	རབ་གནས་འགྱུར 	།_། 	འདབ 	bstod tshogs ka_.txt	     གྱི  །_།  སྟན་ལ་དེ་ནི  རབ་གནས་འགྱུར  །_།  འདབ 
 གྱི ས 						གྱི	ས 	།_། 	བསོད 	ནམ 	-ས 	bstod tshogs ka_.txt	     གྱི ས  །_།  བསོད  ནམ  -ས 
 གྱི ས་བསྐོར 						གྱི	ས་བསྐོར 	།_། 	སངས 	རྒྱས 	ཕྱག་གི 	bstod tshogs ka_.txt	     གྱི ས་བསྐོར  །_།  སངས  རྒྱས  ཕྱག་གི 
 གྱི ས 						གྱི	ས 	གཡེངས 	འཇིགས་པ་ལ 	།_། 	ལྷ་ཡི 	bstod tshogs ka_.txt	     གྱི ས  གཡེངས  འཇིགས་པ་ལ  །_།  ལྷ་ཡི 
 གྱི ས 						གྱི	ས 	གཟིགས 	གྱུར་ནས 	།_། 	དེ་ཡི 	bstod tshogs ka_.txt	     གྱི ས  གཟིགས  གྱུར་ནས  །_།  དེ་ཡི 
 གྱི  དངོས་མེད་པའི 						གྱི 	དངོས་མེད་པའི 	།_། 	ངོ་བོ 	དེ་ཡང་དེ 	སྤྱོད་ཡུལ 	bstod tshogs ka_.txt	     གྱི  དངོས་མེད་པའི  །_།  ངོ་བོ  དེ་ཡང་དེ  སྤྱོད་ཡུལ 
 གྱི  མཁན་པོ་ཀྲྀཥྞ་པཎྜི 						གྱི 	མཁན་པོ་ཀྲྀཥྞ་པཎྜི 	ཏ་དང 	_།_ 	ལོ་ཙཱ་བ 	ཚུལ་ཁྲིམས 	bstod tshogs ka_.txt	     གྱི  མཁན་པོ་ཀྲྀཥྞ་པཎྜི  ཏ་དང  _།_  ལོ་ཙཱ་བ  ཚུལ་ཁྲིམས 
 གྱི ས 						གྱི	ས 	མ 	གཟིགས་པ 	།_། 	ཁྱོད་ཀྱིས 	bstod tshogs ka_.txt	     གྱི ས  མ  གཟིགས་པ  །_།  ཁྱོད་ཀྱིས 
 གྱི ས 						གྱི	ས 	ཚིམ་པ 	-ར་མཛད 	།_། 	མཁའ་དང 	bstod tshogs ka_.txt	     གྱི ས  ཚིམ་པ  -ར་མཛད  །_།  མཁའ་དང 
 གྱི  རྗེས་སུ 						གྱི 	རྗེས་སུ 	ཞུགས 	གྱུར་ཀྱང 	།_། 	འགའ་རུ 	bstod tshogs ka_.txt	     གྱི  རྗེས་སུ  ཞུགས  གྱུར་ཀྱང  །_།  འགའ་རུ 
 གྱི ས 						གྱི	ས 	འབར་བ 	-འི 	སྐུ 	ཉིད་ཀྱང 	bstod tshogs ka_.txt	     གྱི ས  འབར་བ  -འི  སྐུ  ཉིད་ཀྱང 
 གྱི  མཁན་པོ་ཀྲྀཥྞ་པཎྜི 						གྱི 	མཁན་པོ་ཀྲྀཥྞ་པཎྜི 	ཏ་དང 	།_ 	ལོ་ཙཱ་བ 	དགེ་སློང 	bstod tshogs ka_.txt	     གྱི  མཁན་པོ་ཀྲྀཥྞ་པཎྜི  ཏ་དང  །_  ལོ་ཙཱ་བ  དགེ་སློང 
 གྱི ས 						གྱི	ས 	།_། 	ཡོད་པ 	མིན་པ 	-ར 	bstod tshogs ka_.txt	     གྱི ས  །_།  ཡོད་པ  མིན་པ  -ར 
 གྱི  །_། 						གྱི 	།_། 	འཇིག 	པར 	འགྱུར་བ 	མ་ཡིན་ནོ 	bstod tshogs ka_.txt	     གྱི  །_།  འཇིག  པར  འགྱུར་བ  མ་ཡིན་ནོ 
 གྱི ས 						གྱི	ས 	བྱས་དང་གཉིས 	ཀ 	-ས་བྱས 	།_། 	bstod tshogs ka_.txt	     གྱི ས  བྱས་དང་གཉིས  ཀ  -ས་བྱས  །_། 
 གྱི  །_། 						གྱི 	།_། 	དངོས 	མེད 	གོམས་པ 	-ར 	bstod tshogs ka_.txt	     གྱི  །_།  དངོས  མེད  གོམས་པ  -ར 
 གྱི  ཇི་ལྟར 						གྱི 	ཇི་ལྟར 	ཕྱིས་དེ་བཞིན 	།_། 	དེ 	བཞིན 	bstod tshogs ka_.txt	     གྱི  ཇི་ལྟར  ཕྱིས་དེ་བཞིན  །_།  དེ  བཞིན 
 གྱི  མཁན་པོ་ཀྲྀཥྞ་པཎྜི 						གྱི 	མཁན་པོ་ཀྲྀཥྞ་པཎྜི 	ཏ་དང 	།_ 	ལོ་ཙཱ་བ 	ཚུལ་ཁྲིམས 	bstod tshogs ka_.txt	     གྱི  མཁན་པོ་ཀྲྀཥྞ་པཎྜི  ཏ་དང  །_  ལོ་ཙཱ་བ  ཚུལ་ཁྲིམས 
 གྱི  མཐོང་བ་རྣམས 						གྱི 	མཐོང་བ་རྣམས 	།_། 	ཅུང 	ཟད 	བསྒོམ་པ 	bstod tshogs ka_.txt	     གྱི  མཐོང་བ་རྣམས  །_།  ཅུང  ཟད  བསྒོམ་པ 
 གྱི ས 						གྱི	ས 	འབད་པ་ཡིས 	།_། 	བྱང 	ཆུབ 	bstod tshogs ka_.txt	     གྱི ས  འབད་པ་ཡིས  །_།  བྱང  ཆུབ 
 གྱི  །_། 						གྱི 	།_། 	དེ 	ལྟ་ན་ཡང 	གང་འདྲ་བས 	།_། 	bstod tshogs ka_.txt	     གྱི  །_།  དེ  ལྟ་ན་ཡང  གང་འདྲ་བས  །_། 
 གྱི  །_། 						གྱི 	།_། 	འཇིག 	རྟེན 	བཏགས་པ་ལ 	གནས་ནས 	bstod tshogs ka_.txt	     གྱི  །_།  འཇིག  རྟེན  བཏགས་པ་ལ  གནས་ནས 
 གྱི འམ 						གྱི	འམ 	།_། 	ཡང་ན 	འདི 	-ར་ནི་ཅི་ཞིག་བསྟོད 	bstod tshogs ka_.txt	     གྱི འམ  །_།  ཡང་ན  འདི  -ར་ནི་ཅི་ཞིག་བསྟོད 
 གྱི  མཁན་པོ་ཀྲྀཥྞ་པཎྜི 						གྱི 	མཁན་པོ་ཀྲྀཥྞ་པཎྜི 	ཏ་དང 	།_ 	ལོ་ཙཱ་བ 	དགེ་སློང 	bstod tshogs ka_.txt	     གྱི  མཁན་པོ་ཀྲྀཥྞ་པཎྜི  ཏ་དང  །_  ལོ་ཙཱ་བ  དགེ་སློང 
 གྱི ས 						གྱི	ས 	མི 	ཁྱབ་ལེགས 	མཛད་བརྒྱ་ཡི 	འབྲས་བུ་ནི 	bstod tshogs ka_.txt	     གྱི ས  མི  ཁྱབ་ལེགས  མཛད་བརྒྱ་ཡི  འབྲས་བུ་ནི 
 གྱི  ནང་དུ 						གྱི 	ནང་དུ 	སྣ་ཚོགས 	རྒྱས་པ 	-ར 	སྟོན 	bstod tshogs ka_.txt	     གྱི  ནང་དུ  སྣ་ཚོགས  རྒྱས་པ  -ར  སྟོན 
 གྱི  འཇིགས 						གྱི 	འཇིགས 	སེལ་བ 	།_། 	ཕྱོགས 	བཅུར 	bstod tshogs ka_.txt	     གྱི  འཇིགས  སེལ་བ  །_།  ཕྱོགས  བཅུར 
 གྱི  མཁན་པོ་ཀྲྀཥྞ་པཎྜི 						གྱི 	མཁན་པོ་ཀྲྀཥྞ་པཎྜི 	ཏ་དང 	།_ 	ལོ་ཙཱ་བ 	དགེ་སློང 	bstod tshogs ka_.txt	     གྱི  མཁན་པོ་ཀྲྀཥྞ་པཎྜི  ཏ་དང  །_  ལོ་ཙཱ་བ  དགེ་སློང 
 གྱི  །_། 						གྱི 	།_། 	བསྟོད་པ 	ཀླུ་སྒྲུབ་ཀྱིས 	མཛད་པ 	།_། 	bstod tshogs ka_.txt	     གྱི  །_།  བསྟོད་པ  ཀླུ་སྒྲུབ་ཀྱིས  མཛད་པ  །_། 
 གྱི  གསོལ་བ 						གྱི 	གསོལ་བ 	-ས 	བསྐུལ་བ 	-ས་ན 	།_། 	bstod tshogs ka_.txt	     གྱི  གསོལ་བ  -ས  བསྐུལ་བ  -ས་ན  །_། 
 གྱི ས 						གྱི	ས 	བརྗོད་པ 	-ར 	བྱ་བ་དང 	།_ 	bstod tshogs ka_.txt	     གྱི ས  བརྗོད་པ  -ར  བྱ་བ་དང  །_ 
 གྱི  དོན་དང 						གྱི 	དོན་དང 	བྱ་བ 	མཐའ 	-ར 	ཕྱིན་པ་ནི 	bstod tshogs ka_.txt	     གྱི  དོན་དང  བྱ་བ  མཐའ  -ར  ཕྱིན་པ་ནི 
 གྱི  སྤྱི་ཡིན 						གྱི 	སྤྱི་ཡིན 	ནོ 	།_། 	ད་ནི 	ཡན་ལག་གི 	bstod tshogs ka_.txt	     གྱི  སྤྱི་ཡིན  ནོ  །_།  ད་ནི  ཡན་ལག་གི 
 གྱི  ཕུན 						གྱི 	ཕུན 	སུམ 	ཚོགས་པ 	ཆེན་པོ 	-འི 	bstod tshogs ka_.txt	     གྱི  ཕུན  སུམ  ཚོགས་པ  ཆེན་པོ  -འི 
 གྱི  མ 						གྱི 	མ 	སྐྱེས་པ 	སྐྱེ་བ 	-ར་ནི 	མ 	bstod tshogs ka_.txt	     གྱི  མ  སྐྱེས་པ  སྐྱེ་བ  -ར་ནི  མ 
 གྱི ས 						གྱི	ས 	བརླབས་པ་ལ 	ལུས་དང་ཡིད་ཀྱིས 	ཕྱག 	འཚལ་ལོ་ཞེས 	bstod tshogs ka_.txt	     གྱི ས  བརླབས་པ་ལ  ལུས་དང་ཡིད་ཀྱིས  ཕྱག  འཚལ་ལོ་ཞེས 
 གྱི ས 						གྱི	ས 	མི 	ཁྱབ་པ་ནི 	སེམས་ཀྱི 	ཡུལ་ལས 	bstod tshogs ka_.txt	     གྱི ས  མི  ཁྱབ་པ་ནི  སེམས་ཀྱི  ཡུལ་ལས 
 གྱི  དབང་དུ 						གྱི 	དབང་དུ 	མཛད་ནས 	བྱེ་བྲག 	དུ་མ 	-ར 	bstod tshogs ka_.txt	     གྱི  དབང་དུ  མཛད་ནས  བྱེ་བྲག  དུ་མ  -ར 
 གྱི  འཇིགས 						གྱི 	འཇིགས 	སེལ་ཞེས 	བྱ་བ་སྟེ 	།_ 	འདོད་པ་དང 	bstod tshogs ka_.txt	     གྱི  འཇིགས  སེལ་ཞེས  བྱ་བ་སྟེ  །_  འདོད་པ་དང 
 གྱི  སེམས་ཅན 						གྱི 	སེམས་ཅན 	རྣམས་ཀྱི 	སྐྱེ་བ་ལ 	སོགས་པ 	-འི 	bstod tshogs ka_.txt	     གྱི  སེམས་ཅན  རྣམས་ཀྱི  སྐྱེ་བ་ལ  སོགས་པ  -འི 
 གྱི  གཞལ་ཡས་ཁང་ན 						གྱི 	གཞལ་ཡས་ཁང་ན 	བཞུགས་པ 	བྱང་ཆུབ 	སེམས་དཔའ 	དམ་པ 	bstod tshogs ka_.txt	     གྱི  གཞལ་ཡས་ཁང་ན  བཞུགས་པ  བྱང་ཆུབ  སེམས་དཔའ  དམ་པ 
 གྱི ས 						གྱི	ས 	བྱམས་པ་དང 	།_ 	སྙིང 	རྗེ་དང 	bstod tshogs ka_.txt	     གྱི ས  བྱམས་པ་དང  །_  སྙིང  རྗེ་དང 
 གྱི ས 						གྱི	ས 	རྣལ་འབྱོར 	ཆེན་པོ 	-འི 	གནས་འོག 	bstod tshogs ka_.txt	     གྱི ས  རྣལ་འབྱོར  ཆེན་པོ  -འི  གནས་འོག 
 གྱི  གནས་མཆོག་ཏུ 						གྱི 	གནས་མཆོག་ཏུ 	བཞུགས་པ 	-འི 	དམ་པ 	ཏོག 	bstod tshogs ka_.txt	     གྱི  གནས་མཆོག་ཏུ  བཞུགས་པ  -འི  དམ་པ  ཏོག 
 གྱི ས 						གྱི	ས 	འགྲོ་བ 	མ་ལུས་པ 	-འི 	དོན 	bstod tshogs ka_.txt	     གྱི ས  འགྲོ་བ  མ་ལུས་པ  -འི  དོན 
 གྱི ས 						གྱི	ས 	སྐུ་གསུམ 	བསྟན་ནས 	།_ 	གཞན་ཡང 	bstod tshogs ka_.txt	     གྱི ས  སྐུ་གསུམ  བསྟན་ནས  །_  གཞན་ཡང 
 གྱི  དོན་ནི 						གྱི 	དོན་ནི 	སྲོག་ཆགས 	རྣམས་ཀྱི 	འདོད་པ 	-འི 	bstod tshogs ka_.txt	     གྱི  དོན་ནི  སྲོག་ཆགས  རྣམས་ཀྱི  འདོད་པ  -འི 
 གྱི  དོན 						གྱི 	དོན 	གཅིག 	རྒྱུན་དུ 	མཛད་པ་སྟེ 	།_ 	bstod tshogs ka_.txt	     གྱི  དོན  གཅིག  རྒྱུན་དུ  མཛད་པ་སྟེ  །_ 
 གྱི  དོན 						གྱི 	དོན 	མཛད་པ་དེ་ལ 	ཕྱག 	བྱས་པ 	-ས་ཞེས 	bstod tshogs ka_.txt	     གྱི  དོན  མཛད་པ་དེ་ལ  ཕྱག  བྱས་པ  -ས་ཞེས 
 གྱི  ཁྱད་པར་ཇི 						གྱི 	ཁྱད་པར་ཇི 	ལྟ 	ཞེ་ན 	།_ 	ཡིད་དང 	bstod tshogs ka_.txt	     གྱི  ཁྱད་པར་ཇི  ལྟ  ཞེ་ན  །_  ཡིད་དང 
 གྱི  སྐུ་གསུམ 						གྱི 	སྐུ་གསུམ 	ཐོབ་ཅིང 	རེག་ནས 	འགྲོ་བ 	མ 	bstod tshogs ka_.txt	     གྱི  སྐུ་གསུམ  ཐོབ་ཅིང  རེག་ནས  འགྲོ་བ  མ 
 གྱི  ཚོགས 						གྱི 	ཚོགས 	སྦས་པ 	།_། 	བདག་གིས 	འདི 	bstod tshogs ka_.txt	     གྱི  ཚོགས  སྦས་པ  །_།  བདག་གིས  འདི 
 གྱི  རྗེས 						གྱི 	རྗེས 	འབྲང 	འདི 	-ར་ནི 	ཚད་མ་ཡིན 	bstod tshogs ka_.txt	     གྱི  རྗེས  འབྲང  འདི  -ར་ནི  ཚད་མ་ཡིན 
 གྱི  མཁན་པོ་ཤྲདྡྷཱ 						གྱི 	མཁན་པོ་ཤྲདྡྷཱ 	ཀ་ར་ཝརྨ་དང 	།_ 	བོད་ཀྱི 	ལོ་ཙཱ་བ་བནྡེ 	bstod tshogs ka_.txt	     གྱི  མཁན་པོ་ཤྲདྡྷཱ  ཀ་ར་ཝརྨ་དང  །_  བོད་ཀྱི  ལོ་ཙཱ་བ་བནྡེ 
 གྱི ས་མིན 						གྱི	ས་མིན 	།_། 	གང་གིས 	སྙིང་རྗེ 	སེམས་ཅན་ལ་ནི 	bstod tshogs ka_.txt	     གྱི ས་མིན  །_།  གང་གིས  སྙིང་རྗེ  སེམས་ཅན་ལ་ནི 
 གྱི ས 						གྱི	ས 	།_། 	ཐོས་པ 	-ས 	ང་ཡིས 	bstod tshogs ka_.txt	     གྱི ས  །_།  ཐོས་པ  -ས  ང་ཡིས 
 གྱི ད་ལ 						གྱི	ད་ལ 	།_། 	སྐྱོ་བ 	མེད་པ 	-ར 	bstod tshogs ka_.txt	     གྱི ད་ལ  །_།  སྐྱོ་བ  མེད་པ  -ར 
 གྱི ས 						གྱི	ས 	།_། 	བྱང 	ཆུབ 	སེམས་དཔའ 	bstod tshogs ka_.txt	     གྱི ས  །_།  བྱང  ཆུབ  སེམས་དཔའ 
 གྱི  མཁན་པོ 						གྱི 	མཁན་པོ 	ཆེན་པོ་དཱི་པཾ 	ཀ་ར་ཤྲཱི་ཛྙཱ་ན་དང 	།_ 	ལོ་ཙཱ་བ 	bstod tshogs ka_.txt	     གྱི  མཁན་པོ  ཆེན་པོ་དཱི་པཾ  ཀ་ར་ཤྲཱི་ཛྙཱ་ན་དང  །_  ལོ་ཙཱ་བ 
